feature,attribution
Normalized_Vergence_Angle,0.50904983
Angular_Difference_Gaze_Directions,0.50884134
Delta_Gaze_X,0.5072193
Gaze_Vector_Angle,0.5068193
Directional_Magnitude_Ratio,0.5067115
Ratio_Directional_Magnitude,0.5063269
Gaze_Point_Depth_Difference,0.5050434
World_Gaze_Direction_L_Y,0.50482607
Gaze_Direction_Z_Ratio,0.50467366
Directional_Magnitude_R,0.5045182
Ratio_World_Gaze_Direction_Z,0.50371665
Directional_Magnitude_L,0.5001218
World_Gaze_Origin_L_X,0.5
World_Gaze_Origin_L_Z,0.5
World_Gaze_Origin_R_X,0.5
World_Gaze_Origin_R_Z,0.5
Gaze_Point_Distance,0.4996402
Ratio_Delta_Gaze_XY,0.49832982
Gaze_Direction_Angle,0.49815455
Gaze_Direction_X_Ratio,0.49751702
World_Gaze_Direction_R_Y,0.49722248
World_Gaze_Direction_R_X,0.49721694
Delta_Gaze_Y,0.49521628
Ratio_World_Gaze_Direction_X,0.49483028
Velocity_Gaze_Direction_R_X,0.49414176
Delta_Gaze_Z,0.49371123
Cosine_Angles,0.49370763
Relative_Change_Vergence_Angle,0.49285334
Ratio_World_Gaze_Direction_Y,0.49271515
Acceleration_Gaze_Direction_R_X,0.48864567
World_Gaze_Direction_L_Z,0.48836318
Vergence_Depth,0.48646683
World_Gaze_Direction_R_Z,0.48644048
Gaze_Direction_Y_Ratio,0.48634827
Vergence_Angle,0.4857836
Angular_Difference_X,0.48577157
World_Gaze_Direction_L_X,0.4841553
Gaze_Point_Euclidean_Distance,0.4830915
