feature,attribution
Gaze_Point_Distance,4.2843716e-08
World_Gaze_Direction_L_Y,3.8497266e-08
World_Gaze_Direction_R_Z,3.672936e-08
Delta_Gaze_Y,3.3686128e-08
Angular_Difference_X,3.167002e-08
Delta_Gaze_X,3.0527858e-08
Gaze_Vector_Angle,2.8412112e-08
Ratio_World_Gaze_Direction_X,2.8286104e-08
Vergence_Angle,2.7033295e-08
World_Gaze_Direction_R_Y,2.6212554e-08
Gaze_Direction_Angle,2.4552158e-08
Gaze_Point_Depth_Difference,2.3162075e-08
Gaze_Direction_Z_Ratio,2.2286862e-08
World_Gaze_Direction_R_X,2.2224672e-08
Ratio_World_Gaze_Direction_Y,2.2146637e-08
Angular_Difference_Gaze_Directions,2.2060055e-08
World_Gaze_Direction_L_Z,2.081868e-08
Gaze_Direction_X_Ratio,2.0506915e-08
Cosine_Angles,2.0351287e-08
Gaze_Direction_Y_Ratio,1.9742417e-08
Vergence_Depth,1.9117294e-08
Normalized_Vergence_Angle,1.8889335e-08
Delta_Gaze_Z,1.803286e-08
Ratio_World_Gaze_Direction_Z,1.7077193e-08
World_Gaze_Direction_L_X,1.6962582e-08
Gaze_Point_Euclidean_Distance,1.5785126e-08
Directional_Magnitude_Ratio,1.4133801e-08
Ratio_Delta_Gaze_XY,1.4066274e-08
Directional_Magnitude_R,1.1880701e-08
Ratio_Directional_Magnitude,1.1855271e-08
Directional_Magnitude_L,1.134327e-08
Relative_Change_Vergence_Angle,8.99166e-09
Velocity_Gaze_Direction_R_X,6.962064e-09
Acceleration_Gaze_Direction_R_X,6.34879e-09
World_Gaze_Origin_L_X,0.0
World_Gaze_Origin_L_Z,0.0
World_Gaze_Origin_R_X,0.0
World_Gaze_Origin_R_Z,0.0
