feature,attribution
Relative_Change_Vergence_Angle,0.52003974
World_Gaze_Origin_R_X,0.51648474
World_Gaze_Direction_R_Y,0.5156146
Ratio_Directional_Magnitude,0.51485676
Gaze_Direction_X_Ratio,0.5136311
Vergence_Depth,0.51325774
Normalized_Vergence_Angle,0.51218843
World_Gaze_Direction_L_X,0.51214826
World_Gaze_Direction_L_Y,0.51183134
Directional_Magnitude_R,0.51016307
Ratio_World_Gaze_Direction_X,0.50986236
World_Gaze_Origin_L_Z,0.5096585
Velocity_Gaze_Direction_R_X,0.50889117
World_Gaze_Direction_R_Z,0.50885993
Angular_Difference_Gaze_Directions,0.5087888
World_Gaze_Direction_L_Z,0.50862527
Gaze_Point_Distance,0.5080238
Gaze_Direction_Z_Ratio,0.50787115
Vergence_Angle,0.5072052
Ratio_Delta_Gaze_XY,0.5068961
World_Gaze_Direction_R_X,0.5061268
Delta_Gaze_X,0.5060672
Delta_Gaze_Y,0.5054793
Angular_Difference_X,0.50437415
Delta_Gaze_Z,0.5030234
Directional_Magnitude_Ratio,0.50272864
World_Gaze_Origin_L_X,0.50256085
Gaze_Point_Euclidean_Distance,0.5019862
Ratio_World_Gaze_Direction_Z,0.50163794
Acceleration_Gaze_Direction_R_X,0.5005855
Gaze_Point_Depth_Difference,0.5003619
Gaze_Direction_Y_Ratio,0.49899426
World_Gaze_Origin_R_Z,0.49868962
Ratio_World_Gaze_Direction_Y,0.49813586
Gaze_Direction_Angle,0.49807778
Directional_Magnitude_L,0.49613556
Cosine_Angles,0.48743442
Gaze_Vector_Angle,0.48717403
