feature,attribution
World_Gaze_Origin_L_Z,0.11488785
World_Gaze_Direction_L_X,0.11191684
World_Gaze_Origin_R_Z,0.10917721
World_Gaze_Origin_R_X,0.10815955
Delta_Gaze_Z,0.103674956
Vergence_Depth,0.101477444
Normalized_Vergence_Angle,0.100586556
Acceleration_Gaze_Direction_R_X,0.10041638
World_Gaze_Direction_R_X,0.09928523
Cosine_Angles,0.096668385
Ratio_Delta_Gaze_XY,0.095643796
Directional_Magnitude_R,0.09501543
Relative_Change_Vergence_Angle,0.094150975
Ratio_World_Gaze_Direction_Z,0.094032995
Angular_Difference_Gaze_Directions,0.093352385
Gaze_Point_Distance,0.0919717
Gaze_Direction_X_Ratio,0.09192425
Gaze_Point_Euclidean_Distance,0.09176313
World_Gaze_Direction_L_Z,0.09096666
World_Gaze_Direction_R_Y,0.09071955
Gaze_Point_Depth_Difference,0.090206735
Ratio_World_Gaze_Direction_X,0.090062864
Ratio_World_Gaze_Direction_Y,0.08920734
Ratio_Directional_Magnitude,0.089017056
Velocity_Gaze_Direction_R_X,0.08842776
Directional_Magnitude_L,0.08839821
World_Gaze_Origin_L_X,0.0881333
Delta_Gaze_Y,0.087785065
Gaze_Direction_Angle,0.08751941
Delta_Gaze_X,0.08687381
World_Gaze_Direction_R_Z,0.08604257
Gaze_Direction_Z_Ratio,0.08602298
Gaze_Direction_Y_Ratio,0.08597222
World_Gaze_Direction_L_Y,0.085592486
Vergence_Angle,0.084572904
Gaze_Vector_Angle,0.08379244
Directional_Magnitude_Ratio,0.078628816
Angular_Difference_X,0.07629463
