feature,attribution
Gaze_Point_Euclidean_Distance,0.024423793
Normalized_Vergence_Angle,0.022700071
Gaze_Point_Distance,0.021641375
Angular_Difference_Gaze_Directions,0.021345675
Ratio_Directional_Magnitude,0.020821339
World_Gaze_Direction_R_Z,0.02045886
Gaze_Point_Depth_Difference,0.018933149
World_Gaze_Origin_R_X,0.018729104
Ratio_Delta_Gaze_XY,0.017809128
Cosine_Angles,0.017633718
Delta_Gaze_X,0.01754225
World_Gaze_Direction_R_Y,0.016862249
World_Gaze_Origin_R_Z,0.016307583
World_Gaze_Direction_L_X,0.01563746
Ratio_World_Gaze_Direction_X,0.015256893
Gaze_Direction_Angle,0.015183183
Delta_Gaze_Z,0.015136309
Gaze_Direction_X_Ratio,0.015052612
Ratio_World_Gaze_Direction_Y,0.014601634
Gaze_Direction_Z_Ratio,0.01418809
Delta_Gaze_Y,0.01407386
Gaze_Vector_Angle,0.013884714
Directional_Magnitude_L,0.013881088
Vergence_Angle,0.013532089
World_Gaze_Direction_R_X,0.013520552
Relative_Change_Vergence_Angle,0.013367777
World_Gaze_Direction_L_Z,0.013322916
World_Gaze_Direction_L_Y,0.012407998
Directional_Magnitude_R,0.012369845
Angular_Difference_X,0.0120690055
World_Gaze_Origin_L_Z,0.01203549
Directional_Magnitude_Ratio,0.011319343
Ratio_World_Gaze_Direction_Z,0.010874483
Gaze_Direction_Y_Ratio,0.010862013
Acceleration_Gaze_Direction_R_X,0.010319669
World_Gaze_Origin_L_X,0.009821651
Vergence_Depth,0.009770158
Velocity_Gaze_Direction_R_X,0.009180327
