feature,attribution
Angular_Difference_Gaze_Directions,0.45177105
World_Gaze_Direction_L_X,0.43044037
Normalized_Vergence_Angle,0.42205623
Gaze_Point_Depth_Difference,0.39734668
Ratio_Delta_Gaze_XY,0.3967558
Velocity_Gaze_Direction_R_X,0.39543462
Delta_Gaze_Y,0.39428067
Gaze_Vector_Angle,0.39218894
Ratio_Directional_Magnitude,0.37984464
Vergence_Depth,0.37562397
Vergence_Angle,0.37447536
Cosine_Angles,0.3722491
Gaze_Point_Euclidean_Distance,0.35501182
Directional_Magnitude_L,0.35470733
Delta_Gaze_X,0.3527401
World_Gaze_Direction_L_Z,0.3522637
Gaze_Direction_Y_Ratio,0.35063392
Delta_Gaze_Z,0.34911853
Gaze_Direction_X_Ratio,0.34854713
Ratio_World_Gaze_Direction_Z,0.34776267
World_Gaze_Origin_L_Z,0.34671658
Gaze_Direction_Angle,0.34227443
Directional_Magnitude_Ratio,0.33246666
Directional_Magnitude_R,0.33206296
Gaze_Point_Distance,0.3318563
World_Gaze_Direction_L_Y,0.33176848
Angular_Difference_X,0.32790148
Relative_Change_Vergence_Angle,0.3264363
World_Gaze_Origin_L_X,0.32533514
World_Gaze_Direction_R_Y,0.32239228
Ratio_World_Gaze_Direction_X,0.3206535
Acceleration_Gaze_Direction_R_X,0.31903085
World_Gaze_Origin_R_Z,0.3171749
World_Gaze_Direction_R_X,0.31520656
World_Gaze_Direction_R_Z,0.31471017
Gaze_Direction_Z_Ratio,0.2878609
World_Gaze_Origin_R_X,0.25991994
Ratio_World_Gaze_Direction_Y,0.23723048
