feature,attribution
Cosine_Angles,0.51146066
World_Gaze_Origin_L_Z,0.51049584
Gaze_Point_Depth_Difference,0.51041913
Gaze_Vector_Angle,0.51036674
Relative_Change_Vergence_Angle,0.5102991
World_Gaze_Origin_L_X,0.5075319
Vergence_Depth,0.50659984
World_Gaze_Direction_R_Y,0.50431025
Directional_Magnitude_Ratio,0.504148
Velocity_Gaze_Direction_R_X,0.5036494
World_Gaze_Direction_R_X,0.5033953
Gaze_Point_Euclidean_Distance,0.50243074
Gaze_Direction_X_Ratio,0.5022643
World_Gaze_Direction_L_X,0.50144005
World_Gaze_Direction_L_Y,0.5007257
Ratio_World_Gaze_Direction_X,0.49978527
Gaze_Direction_Angle,0.4993985
Gaze_Point_Distance,0.49886215
Angular_Difference_Gaze_Directions,0.49816155
Ratio_World_Gaze_Direction_Y,0.49776667
World_Gaze_Direction_L_Z,0.4976195
Acceleration_Gaze_Direction_R_X,0.49672708
Ratio_Delta_Gaze_XY,0.49653596
Gaze_Direction_Y_Ratio,0.49576482
Ratio_World_Gaze_Direction_Z,0.4955498
Directional_Magnitude_L,0.49507368
Ratio_Directional_Magnitude,0.49475548
Gaze_Direction_Z_Ratio,0.4945623
Delta_Gaze_X,0.4942634
Delta_Gaze_Z,0.49113724
Delta_Gaze_Y,0.49087125
World_Gaze_Origin_R_Z,0.4897274
Directional_Magnitude_R,0.48970866
Vergence_Angle,0.48917142
Angular_Difference_X,0.48899034
Normalized_Vergence_Angle,0.48498508
World_Gaze_Origin_R_X,0.48343554
World_Gaze_Direction_R_Z,0.48037258
