feature,attribution
World_Gaze_Direction_R_X,0.029764386
Ratio_World_Gaze_Direction_Y,0.028852839
World_Gaze_Origin_R_Z,0.027333507
Vergence_Depth,0.02613765
Directional_Magnitude_L,0.026100429
Ratio_Delta_Gaze_XY,0.025752814
World_Gaze_Origin_R_X,0.02282328
Cosine_Angles,0.022758551
Gaze_Point_Distance,0.022676181
Delta_Gaze_Z,0.022521472
Velocity_Gaze_Direction_R_X,0.021732928
Angular_Difference_X,0.021519667
Gaze_Direction_Y_Ratio,0.020801142
Gaze_Point_Euclidean_Distance,0.020259423
Directional_Magnitude_R,0.019800387
World_Gaze_Direction_R_Z,0.019463977
Ratio_World_Gaze_Direction_X,0.019424973
Gaze_Direction_Z_Ratio,0.018887082
Gaze_Vector_Angle,0.018544154
Directional_Magnitude_Ratio,0.018117417
World_Gaze_Direction_R_Y,0.017333416
Relative_Change_Vergence_Angle,0.016835503
World_Gaze_Direction_L_Y,0.016633034
Delta_Gaze_X,0.01653186
World_Gaze_Direction_L_Z,0.015304506
Acceleration_Gaze_Direction_R_X,0.015171378
World_Gaze_Direction_L_X,0.0150182005
Normalized_Vergence_Angle,0.014667388
Vergence_Angle,0.014664113
Gaze_Direction_X_Ratio,0.014608717
Gaze_Point_Depth_Difference,0.014418441
Angular_Difference_Gaze_Directions,0.013612488
Ratio_Directional_Magnitude,0.013593142
Gaze_Direction_Angle,0.012364142
World_Gaze_Origin_L_Z,0.0115090795
World_Gaze_Origin_L_X,0.011259597
Delta_Gaze_Y,0.010030899
Ratio_World_Gaze_Direction_Z,0.0094287135
