feature,attribution
Normalized_Vergence_Angle,0.46434888
Ratio_Delta_Gaze_XY,0.43216428
World_Gaze_Direction_L_Z,0.43091485
Delta_Gaze_X,0.4122859
World_Gaze_Direction_R_Y,0.40487793
Gaze_Direction_Angle,0.39481533
Vergence_Angle,0.3942767
Ratio_World_Gaze_Direction_X,0.38554126
Gaze_Direction_Z_Ratio,0.38026157
Gaze_Point_Euclidean_Distance,0.37751073
World_Gaze_Direction_R_Z,0.376992
Ratio_World_Gaze_Direction_Y,0.35594133
Directional_Magnitude_L,0.35572162
Cosine_Angles,0.35555106
World_Gaze_Origin_R_X,0.35372716
World_Gaze_Origin_R_Z,0.34856546
Directional_Magnitude_Ratio,0.348562
Gaze_Point_Distance,0.3475622
Gaze_Point_Depth_Difference,0.34204847
World_Gaze_Origin_L_Z,0.3390692
Angular_Difference_X,0.33720315
Gaze_Direction_Y_Ratio,0.33704957
Acceleration_Gaze_Direction_R_X,0.33524284
Ratio_Directional_Magnitude,0.33518574
Delta_Gaze_Z,0.33129036
Delta_Gaze_Y,0.32885343
World_Gaze_Direction_L_X,0.32359686
Ratio_World_Gaze_Direction_Z,0.32291213
Velocity_Gaze_Direction_R_X,0.31590316
Directional_Magnitude_R,0.31440076
World_Gaze_Direction_L_Y,0.30681312
World_Gaze_Origin_L_X,0.30082753
Gaze_Vector_Angle,0.30023196
Relative_Change_Vergence_Angle,0.29906318
Vergence_Depth,0.29324844
Gaze_Direction_X_Ratio,0.29033494
Angular_Difference_Gaze_Directions,0.2903108
World_Gaze_Direction_R_X,0.25747523
