Method,Average Execution Time,Total Execution Time,Average Memory Usage,Total Memory Usage
ablation_MEAN,217.753179973308,5443.8294993327,1125.9725,28149.3125
ablation_MEAN,161.85812853005248,4046.4532132513123,1120.868125,28021.703125
ablation_MEAN,161.85812853005248,4046.4532132513123,1120.868125,28021.703125
ablation_MEANSTD,326.4343612533249,8160.859031333122,1071.069375,26776.734375
ablation_MEAN,161.85812853005248,4046.4532132513123,1120.868125,28021.703125
ablation_MEANSTD,326.4343612533249,8160.859031333122,1071.069375,26776.734375
ablation_INV,239.33336872830986,5983.334218207747,1147.560625,28689.015625
ablation_MEAN,161.85812853005248,4046.4532132513123,1120.868125,28021.703125
ablation_MEANSTD,326.4343612533249,8160.859031333122,1071.069375,26776.734375
ablation_INV,239.33336872830986,5983.334218207747,1147.560625,28689.015625
ablation_PEN,276.0006061866554,6900.015154666384,1210.8325,30270.8125
ablation_MEAN,161.85812853005248,4046.4532132513123,1120.868125,28021.703125
ablation_MEANSTD,326.4343612533249,8160.859031333122,1071.069375,26776.734375
ablation_INV,239.33336872830986,5983.334218207747,1147.560625,28689.015625
ablation_PEN,276.0006061866554,6900.015154666384,1210.8325,30270.8125
deepactif_input_MEAN,4.304096603314393,107.6024150828598,1593.19125,39829.78125
ablation_MEAN,161.85812853005248,4046.4532132513123,1120.868125,28021.703125
ablation_MEANSTD,326.4343612533249,8160.859031333122,1071.069375,26776.734375
ablation_INV,239.33336872830986,5983.334218207747,1147.560625,28689.015625
ablation_PEN,276.0006061866554,6900.015154666384,1210.8325,30270.8125
deepactif_input_MEAN,4.304096603314393,107.6024150828598,1593.19125,39829.78125
deepactif_input_MEANSTD,4.422894999971613,110.57237499929033,1547.76625,38694.15625
ablation_MEAN,161.85812853005248,4046.4532132513123,1120.868125,28021.703125
ablation_MEANSTD,326.4343612533249,8160.859031333122,1071.069375,26776.734375
ablation_INV,239.33336872830986,5983.334218207747,1147.560625,28689.015625
ablation_PEN,276.0006061866554,6900.015154666384,1210.8325,30270.8125
deepactif_input_MEAN,4.304096603314393,107.6024150828598,1593.19125,39829.78125
deepactif_input_MEANSTD,4.422894999971613,110.57237499929033,1547.76625,38694.15625
deepactif_input_INV,4.430855288323946,110.77138220809866,1532.484375,38312.109375
ablation_MEAN,161.85812853005248,4046.4532132513123,1120.868125,28021.703125
ablation_MEANSTD,326.4343612533249,8160.859031333122,1071.069375,26776.734375
ablation_INV,239.33336872830986,5983.334218207747,1147.560625,28689.015625
ablation_PEN,276.0006061866554,6900.015154666384,1210.8325,30270.8125
deepactif_input_MEAN,4.304096603314393,107.6024150828598,1593.19125,39829.78125
deepactif_input_MEANSTD,4.422894999971613,110.57237499929033,1547.76625,38694.15625
deepactif_input_INV,4.430855288323946,110.77138220809866,1532.484375,38312.109375
deepactif_input_PEN,4.7322560367034745,118.30640091758687,1348.828125,33720.703125
ablation_MEAN,161.85812853005248,4046.4532132513123,1120.868125,28021.703125
ablation_MEANSTD,326.4343612533249,8160.859031333122,1071.069375,26776.734375
ablation_INV,239.33336872830986,5983.334218207747,1147.560625,28689.015625
ablation_PEN,276.0006061866554,6900.015154666384,1210.8325,30270.8125
deepactif_input_MEAN,4.304096603314393,107.6024150828598,1593.19125,39829.78125
deepactif_input_MEANSTD,4.422894999971613,110.57237499929033,1547.76625,38694.15625
deepactif_input_INV,4.430855288323946,110.77138220809866,1532.484375,38312.109375
deepactif_input_PEN,4.7322560367034745,118.30640091758687,1348.828125,33720.703125
deepactif_lstm_MEAN,7.456339575047605,186.40848937619012,1209.820625,30245.515625
ablation_MEAN,161.85812853005248,4046.4532132513123,1120.868125,28021.703125
ablation_MEANSTD,326.4343612533249,8160.859031333122,1071.069375,26776.734375
ablation_INV,239.33336872830986,5983.334218207747,1147.560625,28689.015625
ablation_PEN,276.0006061866554,6900.015154666384,1210.8325,30270.8125
deepactif_input_MEAN,4.304096603314393,107.6024150828598,1593.19125,39829.78125
deepactif_input_MEANSTD,4.422894999971613,110.57237499929033,1547.76625,38694.15625
deepactif_input_INV,4.430855288323946,110.77138220809866,1532.484375,38312.109375
deepactif_input_PEN,4.7322560367034745,118.30640091758687,1348.828125,33720.703125
deepactif_lstm_MEAN,7.456339575047605,186.40848937619012,1209.820625,30245.515625
deepactif_lstm_MEANSTD,7.206186363399029,180.15465908497572,1303.38375,32584.59375
ablation_MEAN,161.85812853005248,4046.4532132513123,1120.868125,28021.703125
ablation_MEANSTD,326.4343612533249,8160.859031333122,1071.069375,26776.734375
ablation_INV,239.33336872830986,5983.334218207747,1147.560625,28689.015625
ablation_PEN,276.0006061866554,6900.015154666384,1210.8325,30270.8125
deepactif_input_MEAN,4.304096603314393,107.6024150828598,1593.19125,39829.78125
deepactif_input_MEANSTD,4.422894999971613,110.57237499929033,1547.76625,38694.15625
deepactif_input_INV,4.430855288323946,110.77138220809866,1532.484375,38312.109375
deepactif_input_PEN,4.7322560367034745,118.30640091758687,1348.828125,33720.703125
deepactif_lstm_MEAN,7.456339575047605,186.40848937619012,1209.820625,30245.515625
deepactif_lstm_MEANSTD,7.206186363399029,180.15465908497572,1303.38375,32584.59375
deepactif_lstm_INV,5.164121061591431,129.1030265397858,1191.915625,29797.890625
ablation_MEAN,161.85812853005248,4046.4532132513123,1120.868125,28021.703125
ablation_MEANSTD,326.4343612533249,8160.859031333122,1071.069375,26776.734375
ablation_INV,239.33336872830986,5983.334218207747,1147.560625,28689.015625
ablation_PEN,276.0006061866554,6900.015154666384,1210.8325,30270.8125
deepactif_input_MEAN,4.304096603314393,107.6024150828598,1593.19125,39829.78125
deepactif_input_MEANSTD,4.422894999971613,110.57237499929033,1547.76625,38694.15625
deepactif_input_INV,4.430855288323946,110.77138220809866,1532.484375,38312.109375
deepactif_input_PEN,4.7322560367034745,118.30640091758687,1348.828125,33720.703125
deepactif_lstm_MEAN,7.456339575047605,186.40848937619012,1209.820625,30245.515625
deepactif_lstm_MEANSTD,7.206186363399029,180.15465908497572,1303.38375,32584.59375
deepactif_lstm_INV,5.164121061591431,129.1030265397858,1191.915625,29797.890625
deepactif_lstm_PEN,4.9448492999980225,123.62123249995057,1254.943125,31373.578125
ablation_MEAN,161.85812853005248,4046.4532132513123,1120.868125,28021.703125
ablation_MEANSTD,326.4343612533249,8160.859031333122,1071.069375,26776.734375
ablation_INV,239.33336872830986,5983.334218207747,1147.560625,28689.015625
ablation_PEN,276.0006061866554,6900.015154666384,1210.8325,30270.8125
deepactif_input_MEAN,4.304096603314393,107.6024150828598,1593.19125,39829.78125
deepactif_input_MEANSTD,4.422894999971613,110.57237499929033,1547.76625,38694.15625
deepactif_input_INV,4.430855288323946,110.77138220809866,1532.484375,38312.109375
deepactif_input_PEN,4.7322560367034745,118.30640091758687,1348.828125,33720.703125
deepactif_lstm_MEAN,7.456339575047605,186.40848937619012,1209.820625,30245.515625
deepactif_lstm_MEANSTD,7.206186363399029,180.15465908497572,1303.38375,32584.59375
