feature,attribution
Directional_Magnitude_R,0.4265701
Ratio_World_Gaze_Direction_X,0.42519447
Acceleration_Gaze_Direction_R_X,0.4098557
Normalized_Vergence_Angle,0.407792
Delta_Gaze_X,0.4061588
Angular_Difference_Gaze_Directions,0.40516242
Ratio_Delta_Gaze_XY,0.4022906
World_Gaze_Direction_R_Z,0.40146646
Gaze_Direction_Z_Ratio,0.39862362
Gaze_Point_Euclidean_Distance,0.39602506
World_Gaze_Direction_L_X,0.3931409
Cosine_Angles,0.39266247
Velocity_Gaze_Direction_R_X,0.39074677
Gaze_Direction_Angle,0.38951796
Delta_Gaze_Z,0.389173
Ratio_World_Gaze_Direction_Y,0.38910344
Ratio_World_Gaze_Direction_Z,0.38858423
Gaze_Direction_Y_Ratio,0.38796338
Delta_Gaze_Y,0.38742337
Gaze_Point_Depth_Difference,0.38388467
Relative_Change_Vergence_Angle,0.37963375
Directional_Magnitude_Ratio,0.3791325
Vergence_Angle,0.37584487
Angular_Difference_X,0.37422982
Gaze_Point_Distance,0.37418732
Ratio_Directional_Magnitude,0.37306637
World_Gaze_Direction_L_Y,0.37143365
World_Gaze_Direction_R_Y,0.37135
Gaze_Vector_Angle,0.37131912
Directional_Magnitude_L,0.3674683
World_Gaze_Direction_L_Z,0.36545464
Vergence_Depth,0.36416426
World_Gaze_Direction_R_X,0.36403084
Gaze_Direction_X_Ratio,0.3550987
