feature,attribution
World_Gaze_Direction_R_Z,0.687277
World_Gaze_Direction_R_Y,0.68557394
World_Gaze_Direction_R_X,0.68343127
World_Gaze_Direction_L_Y,0.6833427
World_Gaze_Direction_L_X,0.68297166
World_Gaze_Direction_L_Z,0.67897093
Vergence_Angle,0.67762446
Normalized_Vergence_Angle,0.6683933
Cosine_Angles,0.6657374
Vergence_Depth,0.665041
Delta_Gaze_X,0.6595889
Directional_Magnitude_Ratio,0.6593016
Gaze_Direction_X_Ratio,0.6584268
Gaze_Direction_Angle,0.65821004
Gaze_Direction_Z_Ratio,0.6580813
Gaze_Vector_Angle,0.6580143
Delta_Gaze_Y,0.6577287
Ratio_Delta_Gaze_XY,0.6573124
Delta_Gaze_Z,0.6568083
Gaze_Point_Euclidean_Distance,0.6560522
Angular_Difference_Gaze_Directions,0.6555113
Relative_Change_Vergence_Angle,0.6551533
Directional_Magnitude_R,0.65513176
Directional_Magnitude_L,0.65489304
Gaze_Point_Distance,0.654756
Ratio_World_Gaze_Direction_Y,0.65389395
Gaze_Direction_Y_Ratio,0.653487
Ratio_World_Gaze_Direction_X,0.6534645
Ratio_Directional_Magnitude,0.65329736
Gaze_Point_Depth_Difference,0.6523583
Ratio_World_Gaze_Direction_Z,0.64880735
Velocity_Gaze_Direction_R_X,0.6444593
Angular_Difference_X,0.64306146
Acceleration_Gaze_Direction_R_X,0.6407025
