feature,attribution,uncertainty
World_Gaze_Direction_L_X,0.696368982257149,0.0031489085770237506
World_Gaze_Direction_R_Z,0.5908475763802218,0.002100366793902388
Gaze_Point_Distance,0.5485449462464086,0.003243619430511052
Acceleration_Gaze_Direction_R_X,0.5329747205942535,0.002671966380134611
Gaze_Direction_Z_Ratio,0.5297811859159753,0.0020852095346873276
Ratio_World_Gaze_Direction_X,0.5282006535394441,0.0028074187873053263
Delta_Gaze_Y,0.4946198314920677,0.0020949783485563742
Directional_Magnitude_Ratio,0.47882584318547505,0.0020467706142470016
Cosine_Angles,0.4775258072478635,0.0029387004811107596
Vergence_Depth,0.4750970363874346,0.002387972341649706
Gaze_Direction_X_Ratio,0.47291523694721577,0.0025975787273803314
Velocity_Gaze_Direction_R_X,0.46919267558531175,0.002185548102086114
Gaze_Direction_Y_Ratio,0.4684448477573738,0.0021623194341891003
Ratio_World_Gaze_Direction_Y,0.4512143287368135,0.002358158645154492
Ratio_Delta_Gaze_XY,0.43966031222380636,0.0021893423644037033
Angular_Difference_X,0.43229659407972165,0.002126448831061735
Normalized_Vergence_Angle,0.42902821363210913,0.0021632160045563314
Relative_Change_Vergence_Angle,0.42142535443995927,0.0016920818211917834
Ratio_Directional_Magnitude,0.4205357915692553,0.001723019879203591
Directional_Magnitude_L,0.4081098181162986,0.0019169764315410567
Gaze_Direction_Angle,0.40485274285254297,0.0022375049936470843
Directional_Magnitude_R,0.3990983454882101,0.002076032954218209
Gaze_Point_Depth_Difference,0.398039536431361,0.0017363373004233421
Delta_Gaze_X,0.3907917228575621,0.0020061416749497813
Angular_Difference_Gaze_Directions,0.3890871862362799,0.001651855713265592
Vergence_Angle,0.38543975559223675,0.001954334298934003
Ratio_World_Gaze_Direction_Z,0.38262001185703176,0.0015735553792214727
World_Gaze_Direction_R_X,0.38135066833079984,0.0018363835890861646
Gaze_Vector_Angle,0.3585950950575001,0.0018522375979683483
Delta_Gaze_Z,0.3578088019685691,0.001794620804118898
World_Gaze_Direction_R_Y,0.35624270037788414,0.0017023798692456652
Gaze_Point_Euclidean_Distance,0.34539518183113427,0.001711257808888546
World_Gaze_Direction_L_Z,0.3426235666136412,0.0016015599244602475
World_Gaze_Direction_L_Y,0.3309126690253612,0.0016161994436187568
