feature,attribution,uncertainty
Gaze_Point_Distance,0.8035944558572933,0.019283786088247497
World_Gaze_Direction_R_Z,0.5996390617573977,0.020226849155108497
Ratio_World_Gaze_Direction_X,0.5933941267281302,0.012190073592441368
World_Gaze_Direction_L_X,0.5593472194081159,0.02745838560789917
Gaze_Direction_Z_Ratio,0.5102003278155142,0.024096478046538708
Acceleration_Gaze_Direction_R_X,0.47248711987319925,0.02645930730051413
Gaze_Direction_Y_Ratio,0.4653920968468304,0.02317261922093972
Cosine_Angles,0.4452905033555474,0.014337576420909577
Ratio_Directional_Magnitude,0.43883049389482004,0.017482813875662754
Velocity_Gaze_Direction_R_X,0.4311219126270038,0.022968963297535526
Vergence_Depth,0.42645961496744705,0.02124511033814071
Ratio_World_Gaze_Direction_Y,0.426267104297719,0.018896114268666987
Vergence_Angle,0.39925101517720907,0.012114081476145962
Ratio_Delta_Gaze_XY,0.3779059630398981,0.02042033063098136
Gaze_Point_Depth_Difference,0.3764262685822742,0.01730991656184976
Normalized_Vergence_Angle,0.37283219235923143,0.02057530779396956
Gaze_Direction_X_Ratio,0.3702328146307674,0.017788833400321197
Angular_Difference_X,0.3665961634712878,0.01282657293504226
Delta_Gaze_Y,0.3638361637825337,0.024133330761576876
Gaze_Direction_Angle,0.354473260140454,0.01662635227355441
World_Gaze_Direction_R_Y,0.3517956509466648,0.016828638853171242
Relative_Change_Vergence_Angle,0.346724759461415,0.024869387997728074
Gaze_Point_Euclidean_Distance,0.32829362798518547,0.012388354593351034
Ratio_World_Gaze_Direction_Z,0.3268757057930156,0.017600045719491884
Delta_Gaze_Z,0.3248790193415013,0.013383623736276043
Directional_Magnitude_L,0.32203025079030906,0.01686342243568788
Directional_Magnitude_R,0.295811129201888,0.016876674063400515
Angular_Difference_Gaze_Directions,0.2934178108072012,0.017443296634275008
Directional_Magnitude_Ratio,0.28511891362485486,0.02037838778450923
Delta_Gaze_X,0.28396260082120633,0.011480063657787405
Gaze_Vector_Angle,0.28364192104842445,0.015365149943212086
World_Gaze_Direction_L_Z,0.27141225552455195,0.014842914865101964
World_Gaze_Direction_L_Y,0.2636631889172793,0.015700775323010528
World_Gaze_Direction_R_X,0.26031200398847376,0.01649787024567528
