feature,attribution
Delta_Gaze_Y,0.53009766
Delta_Gaze_X,0.52929217
Delta_Gaze_Z,0.52706695
Gaze_Vector_Angle,0.5251005
Cosine_Angles,0.52407384
Ratio_Delta_Gaze_XY,0.52330977
Gaze_Direction_Angle,0.5227237
Vergence_Depth,0.5220402
Gaze_Direction_Z_Ratio,0.5217942
Directional_Magnitude_R,0.5214621
Gaze_Direction_Y_Ratio,0.5212955
Gaze_Point_Euclidean_Distance,0.52102774
Relative_Change_Vergence_Angle,0.5209349
Normalized_Vergence_Angle,0.5208214
Gaze_Direction_X_Ratio,0.520614
Directional_Magnitude_L,0.5200999
Directional_Magnitude_Ratio,0.52008307
Angular_Difference_Gaze_Directions,0.5200068
Angular_Difference_X,0.51982737
Acceleration_Gaze_Direction_R_X,0.51972735
Vergence_Angle,0.5191545
World_Gaze_Direction_L_Z,0.51812625
Ratio_Directional_Magnitude,0.5174934
Velocity_Gaze_Direction_R_X,0.51713747
World_Gaze_Direction_L_Y,0.51622224
Gaze_Point_Distance,0.51570755
Ratio_World_Gaze_Direction_Z,0.5156057
Ratio_World_Gaze_Direction_Y,0.51502323
Ratio_World_Gaze_Direction_X,0.51489365
Gaze_Point_Depth_Difference,0.514519
World_Gaze_Direction_L_X,0.51361907
World_Gaze_Direction_R_Z,0.51251215
World_Gaze_Direction_R_X,0.5119258
World_Gaze_Direction_R_Y,0.51077837
