feature,attribution
World_Gaze_Direction_R_Z,0.68807006
World_Gaze_Direction_R_Y,0.68686837
World_Gaze_Direction_R_X,0.6845221
World_Gaze_Direction_L_Y,0.68368393
World_Gaze_Direction_L_X,0.6835228
World_Gaze_Direction_L_Z,0.6790587
Vergence_Angle,0.67746294
Normalized_Vergence_Angle,0.6683762
Cosine_Angles,0.66543734
Vergence_Depth,0.66520035
Delta_Gaze_X,0.6593954
Delta_Gaze_Y,0.6582227
Directional_Magnitude_Ratio,0.6580618
Gaze_Vector_Angle,0.6579048
Gaze_Direction_X_Ratio,0.657122
Delta_Gaze_Z,0.6565194
Gaze_Point_Euclidean_Distance,0.656199
Gaze_Direction_Z_Ratio,0.6561043
Gaze_Direction_Angle,0.65599626
Ratio_Delta_Gaze_XY,0.6554626
Directional_Magnitude_R,0.65488386
Directional_Magnitude_L,0.65405923
Angular_Difference_Gaze_Directions,0.6536347
Relative_Change_Vergence_Angle,0.65344703
Gaze_Point_Distance,0.65341353
Ratio_World_Gaze_Direction_Y,0.6521903
Ratio_World_Gaze_Direction_X,0.65201753
Gaze_Direction_Y_Ratio,0.65162337
Ratio_Directional_Magnitude,0.65152663
Gaze_Point_Depth_Difference,0.65129733
Ratio_World_Gaze_Direction_Z,0.64741725
Velocity_Gaze_Direction_R_X,0.6431522
Angular_Difference_X,0.6424141
Acceleration_Gaze_Direction_R_X,0.6398233
