feature,attribution
World_Gaze_Direction_R_Y,0.53739434
World_Gaze_Direction_L_X,0.5208372
Ratio_Directional_Magnitude,0.51648736
Gaze_Direction_X_Ratio,0.51587737
Gaze_Point_Euclidean_Distance,0.5150335
Ratio_World_Gaze_Direction_Z,0.51166517
Ratio_Delta_Gaze_XY,0.5115008
Delta_Gaze_Z,0.50982237
Ratio_World_Gaze_Direction_Y,0.5071221
Angular_Difference_X,0.506881
Acceleration_Gaze_Direction_R_X,0.50630075
Cosine_Angles,0.5061612
World_Gaze_Direction_L_Z,0.5055678
Gaze_Direction_Z_Ratio,0.5041692
Vergence_Angle,0.5035378
World_Gaze_Direction_L_Y,0.50288075
Angular_Difference_Gaze_Directions,0.5026469
Directional_Magnitude_Ratio,0.50238264
World_Gaze_Direction_R_Z,0.5012893
Gaze_Point_Distance,0.50075644
Directional_Magnitude_R,0.5001236
Velocity_Gaze_Direction_R_X,0.49958158
Gaze_Vector_Angle,0.49802357
Directional_Magnitude_L,0.4979398
Relative_Change_Vergence_Angle,0.4975545
Vergence_Depth,0.49708858
Gaze_Point_Depth_Difference,0.49514893
Delta_Gaze_Y,0.49494126
Normalized_Vergence_Angle,0.4943017
Gaze_Direction_Angle,0.4906882
Delta_Gaze_X,0.48741794
World_Gaze_Direction_R_X,0.4848999
Gaze_Direction_Y_Ratio,0.48298037
Ratio_World_Gaze_Direction_X,0.47936222
