feature,attribution
Directional_Magnitude_Ratio,0.5336845
Directional_Magnitude_L,0.53297293
Ratio_World_Gaze_Direction_Y,0.52608895
World_Gaze_Direction_L_Z,0.5242419
Gaze_Point_Distance,0.5222885
World_Gaze_Direction_R_Y,0.51626796
Gaze_Direction_X_Ratio,0.51356936
World_Gaze_Direction_R_X,0.5110662
Cosine_Angles,0.51073205
Relative_Change_Vergence_Angle,0.5101771
Vergence_Depth,0.50703186
Gaze_Point_Euclidean_Distance,0.502112
Angular_Difference_X,0.5016731
Gaze_Direction_Angle,0.49827567
Gaze_Direction_Y_Ratio,0.4982553
Angular_Difference_Gaze_Directions,0.4978894
Delta_Gaze_Z,0.49770194
Acceleration_Gaze_Direction_R_X,0.49635774
Gaze_Vector_Angle,0.49433517
Directional_Magnitude_R,0.49154353
Ratio_Directional_Magnitude,0.49138463
Ratio_Delta_Gaze_XY,0.4903639
Ratio_World_Gaze_Direction_Z,0.48923877
Velocity_Gaze_Direction_R_X,0.48892453
Gaze_Point_Depth_Difference,0.48727253
Delta_Gaze_Y,0.4724186
Vergence_Angle,0.46832457
Gaze_Direction_Z_Ratio,0.46739468
World_Gaze_Direction_L_X,0.46717525
World_Gaze_Direction_R_Z,0.46354488
Normalized_Vergence_Angle,0.4633642
World_Gaze_Direction_L_Y,0.458857
Delta_Gaze_X,0.455355
Ratio_World_Gaze_Direction_X,0.44827366
