feature,attribution,uncertainty
World_Gaze_Direction_L_X,0.7121937065881997,0.004153365367347189
Gaze_Point_Distance,0.672820553744549,0.005053082637972429
World_Gaze_Direction_R_Z,0.5949152457384589,0.0028456530765290644
Ratio_World_Gaze_Direction_X,0.5753297769287307,0.003928771104622154
Gaze_Direction_Z_Ratio,0.5731759439932235,0.0027633117131689237
Cosine_Angles,0.544401759714814,0.003976177114347116
Acceleration_Gaze_Direction_R_X,0.5431973833304788,0.0030199641157450784
Vergence_Depth,0.5221306123468351,0.003267831546806617
Delta_Gaze_Y,0.5040362353304153,0.002419973189451985
Velocity_Gaze_Direction_R_X,0.4858790750629074,0.0025725884402335868
Gaze_Direction_X_Ratio,0.47991125834778153,0.0030708860484519106
Gaze_Direction_Y_Ratio,0.47604654593344975,0.0023835951092495986
Ratio_World_Gaze_Direction_Y,0.4702618825072256,0.0028838785767316072
Normalized_Vergence_Angle,0.4560804873604654,0.0029065330535669688
Ratio_Directional_Magnitude,0.4472479950042765,0.002200927970603086
Ratio_Delta_Gaze_XY,0.4368237827639129,0.0024837646104015967
Relative_Change_Vergence_Angle,0.4366261978078896,0.0018986854062522215
Vergence_Angle,0.43616637825332083,0.002723994553976457
Directional_Magnitude_Ratio,0.4313649487084558,0.003045267427195929
Angular_Difference_X,0.4271424087664692,0.0027827847845245464
Directional_Magnitude_L,0.4256530845601618,0.0023874324681929203
Ratio_World_Gaze_Direction_Z,0.41747444092679237,0.0018329544847690334
Gaze_Direction_Angle,0.41614047635496393,0.0025788779877746635
Delta_Gaze_X,0.41108991222135116,0.0026407427115967327
Gaze_Point_Depth_Difference,0.4099765736926232,0.0019991846829819364
Directional_Magnitude_R,0.409555811366661,0.0024340866892302647
Delta_Gaze_Z,0.4020516404403949,0.00229545674941316
Angular_Difference_Gaze_Directions,0.3864266381365758,0.0022133206352739653
World_Gaze_Direction_R_X,0.38589327592889605,0.0021247337358001705
World_Gaze_Direction_R_Y,0.3803964977473473,0.0019795939721113567
Gaze_Vector_Angle,0.37759953589191797,0.002319072069432081
Gaze_Point_Euclidean_Distance,0.376934955441345,0.0023065660012690356
World_Gaze_Direction_L_Z,0.35674037842436346,0.0021169796566129534
World_Gaze_Direction_L_Y,0.34719383003922116,0.001831519109432251
