feature,attribution
World_Gaze_Direction_R_Y,0.72472847
World_Gaze_Direction_R_Y,0.6886
Velocity_Gaze_Direction_R_X,0.6661961
Acceleration_Gaze_Direction_R_X,0.66319895
Ratio_World_Gaze_Direction_Y,0.66150236
Delta_Gaze_Z,0.6596116
Ratio_Directional_Magnitude,0.6569426
Gaze_Direction_X_Ratio,0.6549897
World_Gaze_Direction_R_X,0.6510029
Gaze_Point_Euclidean_Distance,0.64615685
World_Gaze_Direction_R_Y,0.6438914
World_Gaze_Direction_R_Y,0.6423842
Acceleration_Gaze_Direction_R_X,0.63449806
Gaze_Point_Distance,0.6318864
Ratio_Directional_Magnitude,0.630095
Gaze_Point_Distance,0.6293192
Ratio_World_Gaze_Direction_Z,0.6254114
Angular_Difference_Gaze_Directions,0.62472594
World_Gaze_Direction_R_X,0.62377995
Gaze_Point_Euclidean_Distance,0.62181556
Gaze_Direction_X_Ratio,0.62155575
Ratio_Directional_Magnitude,0.62126195
World_Gaze_Direction_R_Z,0.62008995
Directional_Magnitude_R,0.61681414
World_Gaze_Direction_R_X,0.616485
Directional_Magnitude_Ratio,0.6161524
Velocity_Gaze_Direction_R_X,0.61594343
Ratio_Delta_Gaze_XY,0.61520886
Acceleration_Gaze_Direction_R_X,0.612939
World_Gaze_Direction_R_Y,0.6128088
Delta_Gaze_Z,0.6123725
Delta_Gaze_Z,0.6105528
Velocity_Gaze_Direction_R_X,0.61001605
Acceleration_Gaze_Direction_R_X,0.6090002
Ratio_World_Gaze_Direction_Z,0.60734826
Gaze_Direction_Z_Ratio,0.60715634
Delta_Gaze_X,0.60673594
World_Gaze_Direction_R_Y,0.6059538
World_Gaze_Direction_L_Z,0.6049335
Ratio_World_Gaze_Direction_Z,0.60301673
Ratio_Delta_Gaze_XY,0.6014818
World_Gaze_Direction_L_Y,0.6011013
Ratio_Delta_Gaze_XY,0.5995809
World_Gaze_Direction_R_Y,0.5978203
Gaze_Point_Distance,0.5973141
Ratio_Delta_Gaze_XY,0.59728473
Delta_Gaze_Z,0.59499073
Gaze_Direction_X_Ratio,0.59455585
Delta_Gaze_Y,0.59438026
Angular_Difference_X,0.59339714
World_Gaze_Direction_L_Z,0.592452
World_Gaze_Direction_L_Y,0.59244996
World_Gaze_Direction_L_X,0.5919719
World_Gaze_Direction_L_Z,0.59142333
Velocity_Gaze_Direction_R_X,0.59142053
Ratio_World_Gaze_Direction_Z,0.5913157
Directional_Magnitude_R,0.5903435
Velocity_Gaze_Direction_R_X,0.59018326
Cosine_Angles,0.5895873
Delta_Gaze_Y,0.5892613
Directional_Magnitude_L,0.58820117
World_Gaze_Direction_R_Y,0.58812654
Ratio_Delta_Gaze_XY,0.5876711
Vergence_Angle,0.58541214
Gaze_Direction_X_Ratio,0.58528686
World_Gaze_Direction_L_Z,0.58458567
Directional_Magnitude_R,0.5838733
Ratio_Directional_Magnitude,0.5838641
Ratio_World_Gaze_Direction_Y,0.583675
Angular_Difference_X,0.5831416
Ratio_Directional_Magnitude,0.58266425
Gaze_Direction_X_Ratio,0.58221906
Gaze_Direction_X_Ratio,0.5816257
Ratio_World_Gaze_Direction_Z,0.5793741
World_Gaze_Direction_L_X,0.5792377
World_Gaze_Direction_R_Y,0.5791162
World_Gaze_Direction_L_X,0.5778842
World_Gaze_Direction_L_X,0.57776994
Velocity_Gaze_Direction_R_X,0.5775728
Ratio_Directional_Magnitude,0.57705736
Gaze_Direction_Y_Ratio,0.5767187
Cosine_Angles,0.57650816
Velocity_Gaze_Direction_R_X,0.57647604
Velocity_Gaze_Direction_R_X,0.57553196
Cosine_Angles,0.57533693
Gaze_Point_Euclidean_Distance,0.57531345
World_Gaze_Direction_L_X,0.5751611
World_Gaze_Direction_L_Y,0.57503176
Gaze_Direction_Z_Ratio,0.57502866
Gaze_Point_Distance,0.57487804
Directional_Magnitude_L,0.57464373
Gaze_Direction_Z_Ratio,0.5745274
Acceleration_Gaze_Direction_R_X,0.57407194
Gaze_Direction_Angle,0.5739925
Directional_Magnitude_L,0.57398033
Ratio_World_Gaze_Direction_Z,0.5733341
Ratio_Directional_Magnitude,0.5726992
Gaze_Direction_Angle,0.5724253
Gaze_Point_Distance,0.57238096
World_Gaze_Direction_L_Y,0.5722796
Acceleration_Gaze_Direction_R_X,0.5721675
Ratio_World_Gaze_Direction_Z,0.57203126
Ratio_World_Gaze_Direction_Z,0.57188284
Delta_Gaze_Z,0.5717555
Gaze_Point_Distance,0.57089025
World_Gaze_Direction_R_Z,0.57060385
Gaze_Vector_Angle,0.5701307
Cosine_Angles,0.5694066
Directional_Magnitude_Ratio,0.568545
World_Gaze_Direction_R_Y,0.5685122
Directional_Magnitude_R,0.5681925
Normalized_Vergence_Angle,0.5681772
Directional_Magnitude_L,0.5681197
Vergence_Depth,0.5680242
Angular_Difference_Gaze_Directions,0.5673554
