feature,attribution,uncertainty
Ratio_World_Gaze_Direction_X,1.1562412208127981,0.004029082116671015
Cosine_Angles,1.146645822090924,0.004029082116671015
World_Gaze_Direction_L_X,1.0673622891746426,0.0018110088625367439
World_Gaze_Direction_L_X,1.039372653416486,0.0025310292106994815
World_Gaze_Direction_L_X,0.9872669962787354,0.004029082116671015
Gaze_Point_Distance,0.9707232745784699,0.004029082116671015
Cosine_Angles,0.958509015883311,0.0037555523461824383
Gaze_Point_Distance,0.9339754944511117,0.003993583472523184
Cosine_Angles,0.9264417201658871,0.005352800588583707
Ratio_World_Gaze_Direction_X,0.9202301802340607,0.0023459639886547097
World_Gaze_Direction_L_X,0.919818962870684,0.005241352187508085
Gaze_Point_Distance,0.9169745806597355,0.0031481271499078003
Velocity_Gaze_Direction_R_X,0.9146819337076446,0.004029082116671015
Gaze_Point_Distance,0.8986613963973392,0.00719797103396885
World_Gaze_Direction_L_X,0.883065230850534,0.004225733544047231
Gaze_Point_Distance,0.8716244922455062,0.003246120263004547
Vergence_Depth,0.867685139079084,0.004029082116671015
Ratio_World_Gaze_Direction_X,0.8655177199262659,0.0037555523461824383
Gaze_Direction_Z_Ratio,0.8592569324050958,0.0025310292106994815
World_Gaze_Direction_L_X,0.8577718154722804,0.009852814501285313
World_Gaze_Direction_L_X,0.8567784415447123,0.0024477695652088656
World_Gaze_Direction_L_X,0.8552386649915152,0.0015240980860496414
Gaze_Point_Distance,0.8531364303546137,0.005241352187508085
World_Gaze_Direction_R_Z,0.848050130256615,0.0018110088625367439
Ratio_World_Gaze_Direction_Y,0.8437064320574222,0.004029082116671015
Cosine_Angles,0.8409581699123685,0.0018110088625367439
Gaze_Direction_Z_Ratio,0.8185346687613954,0.00719797103396885
Ratio_World_Gaze_Direction_X,0.8135321199172478,0.0018110088625367439
World_Gaze_Direction_L_X,0.8092018754638199,0.0037555523461824383
Gaze_Direction_Z_Ratio,0.8078412781375275,0.0037555523461824383
Cosine_Angles,0.8077417599994218,0.0023459639886547097
Gaze_Point_Distance,0.8023361887237694,0.005352800588583707
Ratio_World_Gaze_Direction_X,0.8011057091245667,0.005352800588583707
Gaze_Point_Distance,0.8005163398851098,0.0022535958753182725
Gaze_Point_Distance,0.8003251800482111,0.001759808070311745
Ratio_Directional_Magnitude,0.7996950680514975,0.00719797103396885
Ratio_Delta_Gaze_XY,0.7909261909378377,0.004029082116671015
Gaze_Point_Distance,0.7864727657038525,0.004225733544047231
World_Gaze_Direction_L_X,0.7829264560453483,0.004503727814589389
Cosine_Angles,0.7739740562096414,0.009852814501285313
World_Gaze_Direction_L_X,0.7674253823697463,0.0023459639886547097
Cosine_Angles,0.7612611387883623,0.001759808070311745
Ratio_Directional_Magnitude,0.7605153981438325,0.0031481271499078003
Gaze_Point_Distance,0.7592935350952953,0.0025310292106994815
Gaze_Point_Distance,0.7592167528808426,0.0037555523461824383
Gaze_Direction_Z_Ratio,0.758429511372813,0.0015240980860496414
Ratio_World_Gaze_Direction_X,0.7573761011576943,0.00719797103396885
Ratio_World_Gaze_Direction_X,0.7566972963954687,0.0015240980860496414
Gaze_Direction_Z_Ratio,0.756301510363674,0.003993583472523184
World_Gaze_Direction_R_Z,0.7532507169798388,0.004029082116671015
Gaze_Direction_Z_Ratio,0.7495673488790224,0.004225733544047231
Ratio_World_Gaze_Direction_X,0.7476876044526481,0.003925313118769502
Gaze_Point_Euclidean_Distance,0.7376213835399652,0.004029082116671015
Ratio_World_Gaze_Direction_X,0.7340148571208436,0.005170807771966124
Vergence_Depth,0.7322501631665372,0.009852814501285313
Gaze_Direction_Z_Ratio,0.7291122754359384,0.004006383247245401
World_Gaze_Direction_R_Z,0.7283822436765489,0.0022535958753182725
Angular_Difference_Gaze_Directions,0.7276081661915723,0.0023459639886547097
Cosine_Angles,0.7252131156855443,0.0022535958753182725
World_Gaze_Direction_L_X,0.7235621457724689,0.0022535958753182725
World_Gaze_Direction_L_X,0.7215991186358093,0.005170807771966124
Gaze_Point_Distance,0.7198534320341525,0.005352800588583707
Vergence_Depth,0.7194457777947592,0.0025582141793772497
Gaze_Point_Distance,0.7192462266909345,0.004006383247245401
Gaze_Point_Distance,0.7158102390065584,0.0015240980860496414
Gaze_Direction_Y_Ratio,0.7152843857008535,0.004029082116671015
Gaze_Point_Depth_Difference,0.7063273985787134,0.004029082116671015
World_Gaze_Direction_L_X,0.6992331130672231,0.00719797103396885
World_Gaze_Direction_L_X,0.6975107512496359,0.001759808070311745
World_Gaze_Direction_L_X,0.6942280159518591,0.0025582141793772497
Relative_Change_Vergence_Angle,0.6934006869126703,0.0023459639886547097
Acceleration_Gaze_Direction_R_X,0.6925434687179146,0.004503727814589389
World_Gaze_Direction_L_X,0.6918687653178238,0.003993583472523184
Delta_Gaze_Y,0.6916720522868333,0.004029082116671015
Gaze_Direction_X_Ratio,0.6909307243171485,0.004006383247245401
Gaze_Vector_Angle,0.6905651457515846,0.005241352187508085
Ratio_World_Gaze_Direction_X,0.6903195634116455,0.004503727814589389
World_Gaze_Direction_L_X,0.6894710757054943,0.003925313118769502
World_Gaze_Direction_R_Z,0.6889521886501372,0.0037555523461824383
Gaze_Point_Distance,0.6886320232815933,0.005170807771966124
Ratio_World_Gaze_Direction_X,0.687920779320356,0.0022535958753182725
World_Gaze_Direction_L_X,0.6875691965146793,0.005352800588583707
Acceleration_Gaze_Direction_R_X,0.6837889961542692,0.0018110088625367439
Gaze_Point_Distance,0.6825943172594743,0.0024477695652088656
Cosine_Angles,0.681936498956232,0.00719797103396885
Gaze_Point_Distance,0.681428829362622,0.0025582141793772497
World_Gaze_Direction_R_Z,0.6812519343090124,0.001759808070311745
Gaze_Point_Distance,0.6806375905491409,0.003925313118769502
Directional_Magnitude_R,0.6805117061637836,0.005241352187508085
Cosine_Angles,0.6793028346351333,0.005170807771966124
Gaze_Vector_Angle,0.6752567059163765,0.0023459639886547097
Ratio_World_Gaze_Direction_X,0.6752565556746755,0.005241352187508085
World_Gaze_Direction_R_Z,0.6690114495246242,0.0031481271499078003
Ratio_World_Gaze_Direction_X,0.668333482526178,0.0024477695652088656
Gaze_Direction_Z_Ratio,0.6669394569309961,0.0018110088625367439
Ratio_World_Gaze_Direction_Y,0.6663107632921523,0.0037555523461824383
Delta_Gaze_Y,0.6640466853903597,0.0018110088625367439
World_Gaze_Direction_R_Z,0.662943603591038,0.0024477695652088656
Cosine_Angles,0.6627275058434131,0.003925313118769502
Cosine_Angles,0.6617125199031645,0.004385247930892375
Vergence_Depth,0.6613635954719881,0.0037555523461824383
Gaze_Direction_Z_Ratio,0.6589521786193557,0.0022535958753182725
World_Gaze_Direction_R_Z,0.6574621041206996,0.0025310292106994815
World_Gaze_Direction_L_X,0.653857036760034,0.0031481271499078003
Ratio_Directional_Magnitude,0.6503063855500352,0.0025310292106994815
Gaze_Point_Distance,0.6492191995426532,0.004503727814589389
Ratio_World_Gaze_Direction_X,0.6491661388603979,0.0025310292106994815
Gaze_Direction_X_Ratio,0.6487415901615949,0.005241352187508085
Gaze_Direction_X_Ratio,0.64717307246431,0.004225733544047231
Velocity_Gaze_Direction_R_X,0.6444264633470319,0.0018110088625367439
Ratio_Directional_Magnitude,0.6434533758828749,0.003246120263004547
Ratio_World_Gaze_Direction_X,0.6410718202133823,0.009852814501285313
Directional_Magnitude_L,0.6406933323293749,0.0023459639886547097
World_Gaze_Direction_R_Z,0.6396631944272874,0.0015240980860496414
Gaze_Direction_Z_Ratio,0.6392325164797824,0.003925313118769502
Cosine_Angles,0.634844926698912,0.005241352187508085
Gaze_Direction_Z_Ratio,0.633972412127604,0.004385247930892375
Ratio_World_Gaze_Direction_Y,0.633810795009235,0.0018110088625367439
Ratio_Delta_Gaze_XY,0.6324228164163302,0.0018110088625367439
Gaze_Direction_Z_Ratio,0.6314631563503217,0.0031481271499078003
Gaze_Vector_Angle,0.6290161139308074,0.003993583472523184
Normalized_Vergence_Angle,0.6287590457828468,0.0023459639886547097
Angular_Difference_Gaze_Directions,0.6226271496759748,0.003925313118769502
Normalized_Vergence_Angle,0.6217039705369755,0.004029082116671015
Velocity_Gaze_Direction_R_X,0.6216809494026854,0.00719797103396885
Cosine_Angles,0.6207706669177699,0.004503727814589389
Directional_Magnitude_L,0.620708127562364,0.004029082116671015
World_Gaze_Direction_L_X,0.6199460099509615,0.004006383247245401
Angular_Difference_X,0.6197392178473846,0.003246120263004547
Delta_Gaze_Y,0.6192570345643794,0.0024477695652088656
