feature,attribution
Normalized_Vergence_Angle,0.54154795
Ratio_Directional_Magnitude,0.5270337
World_Gaze_Direction_R_Z,0.524197
Vergence_Angle,0.5237088
World_Gaze_Direction_R_X,0.5218735
Angular_Difference_Gaze_Directions,0.51999754
Delta_Gaze_Y,0.5184616
Directional_Magnitude_R,0.5004532
Ratio_Delta_Gaze_XY,0.49821112
World_Gaze_Direction_L_Z,0.49246842
Gaze_Direction_X_Ratio,0.48982865
Gaze_Vector_Angle,0.48864678
Gaze_Point_Distance,0.48606044
Gaze_Point_Euclidean_Distance,0.4855672
Gaze_Direction_Angle,0.48468116
Ratio_World_Gaze_Direction_X,0.48460752
World_Gaze_Direction_L_X,0.48095253
Velocity_Gaze_Direction_R_X,0.48040816
Angular_Difference_X,0.4799233
Acceleration_Gaze_Direction_R_X,0.47760907
Directional_Magnitude_Ratio,0.47386208
World_Gaze_Direction_R_Y,0.4706083
Ratio_World_Gaze_Direction_Z,0.46946225
Gaze_Direction_Z_Ratio,0.46915862
Delta_Gaze_X,0.46911407
Gaze_Direction_Y_Ratio,0.46801597
Ratio_World_Gaze_Direction_Y,0.46606237
World_Gaze_Direction_L_Y,0.46191442
Relative_Change_Vergence_Angle,0.4608383
Directional_Magnitude_L,0.46080858
Vergence_Depth,0.45764133
Delta_Gaze_Z,0.45694587
Cosine_Angles,0.44820964
Gaze_Point_Depth_Difference,0.43893918
