feature,attribution
World_Gaze_Direction_R_Z,0.00023688875
World_Gaze_Direction_L_X,0.00020448775
World_Gaze_Direction_L_Y,0.00019762188
World_Gaze_Direction_R_X,0.00017597846
Ratio_Delta_Gaze_XY,0.00016543761
Gaze_Direction_Z_Ratio,0.00015881044
Normalized_Vergence_Angle,0.0001516085
Delta_Gaze_Y,0.00014693216
Gaze_Point_Euclidean_Distance,0.00014513814
World_Gaze_Direction_L_Z,0.00013445121
Angular_Difference_Gaze_Directions,0.00013019664
Gaze_Direction_X_Ratio,0.00012385093
Ratio_World_Gaze_Direction_Y,0.00012255351
Gaze_Point_Depth_Difference,0.00012172063
Velocity_Gaze_Direction_R_X,0.000117143994
Ratio_World_Gaze_Direction_Z,0.00011676339
Delta_Gaze_Z,0.000113291404
Ratio_World_Gaze_Direction_X,0.00011287638
Cosine_Angles,0.000107511594
Relative_Change_Vergence_Angle,0.00010509765
Gaze_Point_Distance,0.00010404509
Vergence_Angle,0.000104002254
Vergence_Depth,9.989169e-05
Angular_Difference_X,9.4808674e-05
Gaze_Direction_Y_Ratio,8.890504e-05
Ratio_Directional_Magnitude,8.632307e-05
Delta_Gaze_X,8.567058e-05
Gaze_Direction_Angle,8.5649204e-05
Directional_Magnitude_L,8.339682e-05
World_Gaze_Direction_R_Y,7.745187e-05
Acceleration_Gaze_Direction_R_X,7.000129e-05
Gaze_Vector_Angle,6.0150538e-05
Directional_Magnitude_Ratio,3.132582e-05
Directional_Magnitude_R,1.0627249e-05
