feature,attribution
World_Gaze_Direction_R_Z,5.0913226e-08
World_Gaze_Direction_L_X,3.3804795e-08
World_Gaze_Direction_L_Y,3.0315945e-08
Gaze_Direction_Z_Ratio,2.129972e-08
Ratio_Delta_Gaze_XY,2.0359062e-08
Gaze_Point_Euclidean_Distance,1.9720845e-08
Normalized_Vergence_Angle,1.9263235e-08
World_Gaze_Direction_R_X,1.9090349e-08
Gaze_Point_Distance,1.8596129e-08
Angular_Difference_Gaze_Directions,1.656711e-08
Delta_Gaze_Y,1.550537e-08
Gaze_Point_Depth_Difference,1.5305384e-08
World_Gaze_Direction_L_Z,1.3536572e-08
Cosine_Angles,1.2183554e-08
Velocity_Gaze_Direction_R_X,1.2158404e-08
Ratio_World_Gaze_Direction_Y,1.1933607e-08
Gaze_Direction_X_Ratio,1.1471687e-08
Delta_Gaze_Z,1.0777684e-08
Relative_Change_Vergence_Angle,1.07171445e-08
Ratio_World_Gaze_Direction_Z,1.0695043e-08
Vergence_Angle,1.0348707e-08
Vergence_Depth,9.888642e-09
Ratio_World_Gaze_Direction_X,9.746092e-09
Ratio_Directional_Magnitude,7.95308e-09
Directional_Magnitude_L,7.699076e-09
Gaze_Direction_Angle,7.432157e-09
Angular_Difference_X,6.8523276e-09
Gaze_Direction_Y_Ratio,6.6009296e-09
Delta_Gaze_X,6.0265783e-09
World_Gaze_Direction_R_Y,5.4891e-09
Gaze_Vector_Angle,4.462458e-09
Acceleration_Gaze_Direction_R_X,4.015218e-09
Directional_Magnitude_Ratio,2.5105282e-09
Directional_Magnitude_R,6.865889e-10
