feature,attribution
World_Gaze_Direction_R_Z,0.00047633893
World_Gaze_Direction_L_X,0.00031767404
World_Gaze_Direction_L_Y,0.0002856933
Gaze_Direction_Z_Ratio,0.0001971649
Ratio_Delta_Gaze_XY,0.00019071992
Gaze_Point_Euclidean_Distance,0.00018333824
Normalized_Vergence_Angle,0.00018080027
World_Gaze_Direction_R_X,0.00018009191
Gaze_Point_Distance,0.00017139595
Angular_Difference_Gaze_Directions,0.00015545356
Delta_Gaze_Y,0.00014401742
Gaze_Point_Depth_Difference,0.0001388533
World_Gaze_Direction_L_Z,0.00012460913
Velocity_Gaze_Direction_R_X,0.00011389913
Cosine_Angles,0.00011356508
Ratio_World_Gaze_Direction_Y,0.0001118393
Gaze_Direction_X_Ratio,0.00010887978
Relative_Change_Vergence_Angle,0.00010069103
Delta_Gaze_Z,0.000100618134
Ratio_World_Gaze_Direction_Z,9.8153534e-05
Vergence_Angle,9.783756e-05
Ratio_World_Gaze_Direction_X,9.223487e-05
Vergence_Depth,9.122796e-05
Ratio_Directional_Magnitude,7.474796e-05
Directional_Magnitude_L,7.147258e-05
Gaze_Direction_Angle,6.967106e-05
Angular_Difference_X,6.328065e-05
Gaze_Direction_Y_Ratio,6.107823e-05
Delta_Gaze_X,5.568355e-05
World_Gaze_Direction_R_Y,5.0264705e-05
Gaze_Vector_Angle,4.186473e-05
Acceleration_Gaze_Direction_R_X,3.6682803e-05
Directional_Magnitude_Ratio,2.3320808e-05
Directional_Magnitude_R,4.466882e-06
