feature,attribution
World_Gaze_Direction_L_Y,0.50569123
Gaze_Vector_Angle,0.49977982
Gaze_Point_Euclidean_Distance,0.49847513
Ratio_World_Gaze_Direction_X,0.49453047
Ratio_World_Gaze_Direction_Y,0.49296266
Vergence_Angle,0.4915564
Gaze_Point_Distance,0.48793557
Directional_Magnitude_Ratio,0.48580903
Gaze_Point_Depth_Difference,0.4841075
World_Gaze_Direction_R_Z,0.4840389
Gaze_Direction_Y_Ratio,0.48161805
Delta_Gaze_Z,0.48153847
Relative_Change_Vergence_Angle,0.47888306
Normalized_Vergence_Angle,0.4752589
Directional_Magnitude_R,0.47300348
Ratio_Directional_Magnitude,0.47037032
Directional_Magnitude_L,0.4692881
Angular_Difference_X,0.46882713
Gaze_Direction_Z_Ratio,0.46347785
World_Gaze_Direction_R_Y,0.46189547
Angular_Difference_Gaze_Directions,0.46133396
Velocity_Gaze_Direction_R_X,0.45877662
Ratio_Delta_Gaze_XY,0.45703998
Delta_Gaze_X,0.45280856
Delta_Gaze_Y,0.4504912
Gaze_Direction_X_Ratio,0.44876683
Cosine_Angles,0.44768268
World_Gaze_Direction_L_X,0.4474619
Ratio_World_Gaze_Direction_Z,0.44488457
Acceleration_Gaze_Direction_R_X,0.4442657
Gaze_Direction_Angle,0.4422239
Vergence_Depth,0.43375367
World_Gaze_Direction_R_X,0.43276668
World_Gaze_Direction_L_Z,0.40041578
