Method,Average Execution Time,Total Execution Time,Average Memory Usage,Total Memory Usage
deepactif_input_MEAN,27.927227635256713,223.4178210820537,375.091796875,3000.734375
deepactif_input_MEAN,27.927227635256713,223.4178210820537,375.091796875,3000.734375
deepactif_input_MEANSTD,27.542170593631454,220.33736474905163,356.28515625,2850.28125
deepactif_input_MEAN,27.927227635256713,223.4178210820537,375.091796875,3000.734375
deepactif_input_MEANSTD,27.542170593631454,220.33736474905163,356.28515625,2850.28125
deepactif_input_INV,11.335346010368085,90.68276808294468,361.05859375,2888.46875
deepactif_input_MEAN,27.927227635256713,223.4178210820537,375.091796875,3000.734375
deepactif_input_MEANSTD,27.542170593631454,220.33736474905163,356.28515625,2850.28125
deepactif_input_INV,11.335346010368085,90.68276808294468,361.05859375,2888.46875
deepactif_input_PEN,9.489900109459995,75.91920087567996,359.123046875,2872.984375
deepactif_input_MEAN,27.927227635256713,223.4178210820537,375.091796875,3000.734375
deepactif_input_MEANSTD,27.542170593631454,220.33736474905163,356.28515625,2850.28125
deepactif_input_INV,11.335346010368085,90.68276808294468,361.05859375,2888.46875
deepactif_input_PEN,9.489900109459995,75.91920087567996,359.123046875,2872.984375
deepactif_lstm_MEAN,9.548900682246312,76.3912054579705,358.4453125,2867.5625
deepactif_input_MEAN,27.927227635256713,223.4178210820537,375.091796875,3000.734375
deepactif_input_MEANSTD,27.542170593631454,220.33736474905163,356.28515625,2850.28125
deepactif_input_INV,11.335346010368085,90.68276808294468,361.05859375,2888.46875
deepactif_input_PEN,9.489900109459995,75.91920087567996,359.123046875,2872.984375
deepactif_lstm_MEAN,9.548900682246312,76.3912054579705,358.4453125,2867.5625
deepactif_lstm_MEANSTD,9.372809447508189,74.98247558006551,357.45703125,2859.65625
deepactif_input_MEAN,27.927227635256713,223.4178210820537,375.091796875,3000.734375
deepactif_input_MEANSTD,27.542170593631454,220.33736474905163,356.28515625,2850.28125
deepactif_input_INV,11.335346010368085,90.68276808294468,361.05859375,2888.46875
deepactif_input_PEN,9.489900109459995,75.91920087567996,359.123046875,2872.984375
deepactif_lstm_MEAN,9.548900682246312,76.3912054579705,358.4453125,2867.5625
deepactif_lstm_MEANSTD,9.372809447508189,74.98247558006551,357.45703125,2859.65625
deepactif_lstm_INV,9.444457098972634,75.55565679178108,358.689453125,2869.515625
deepactif_input_MEAN,27.927227635256713,223.4178210820537,375.091796875,3000.734375
deepactif_input_MEANSTD,27.542170593631454,220.33736474905163,356.28515625,2850.28125
deepactif_input_INV,11.335346010368085,90.68276808294468,361.05859375,2888.46875
deepactif_input_PEN,9.489900109459995,75.91920087567996,359.123046875,2872.984375
deepactif_lstm_MEAN,9.548900682246312,76.3912054579705,358.4453125,2867.5625
deepactif_lstm_MEANSTD,9.372809447508189,74.98247558006551,357.45703125,2859.65625
deepactif_lstm_INV,9.444457098972634,75.55565679178108,358.689453125,2869.515625
deepactif_lstm_PEN,10.256521437491756,82.05217149993405,355.783203125,2846.265625
deepactif_input_MEAN,27.927227635256713,223.4178210820537,375.091796875,3000.734375
deepactif_input_MEANSTD,27.542170593631454,220.33736474905163,356.28515625,2850.28125
deepactif_input_INV,11.335346010368085,90.68276808294468,361.05859375,2888.46875
deepactif_input_PEN,9.489900109459995,75.91920087567996,359.123046875,2872.984375
deepactif_lstm_MEAN,9.548900682246312,76.3912054579705,358.4453125,2867.5625
deepactif_lstm_MEANSTD,9.372809447508189,74.98247558006551,357.45703125,2859.65625
deepactif_lstm_INV,9.444457098972634,75.55565679178108,358.689453125,2869.515625
deepactif_lstm_PEN,10.256521437491756,82.05217149993405,355.783203125,2846.265625
deepactif_penultimate_MEAN,9.979851260373835,79.83881008299068,361.67578125,2893.40625
deepactif_input_MEAN,27.927227635256713,223.4178210820537,375.091796875,3000.734375
