feature,attribution
Acceleration_Gaze_Direction_R_X,0.586936
Directional_Magnitude_R,0.5432106
Delta_Gaze_X,0.5233737
Vergence_Angle,0.52010304
Ratio_Directional_Magnitude,0.51790774
Normalized_Vergence_Angle,0.5171283
Gaze_Point_Distance,0.51426315
Velocity_Gaze_Direction_R_X,0.51060486
World_Gaze_Direction_R_Y,0.5072753
Vergence_Depth,0.5066826
Delta_Gaze_Y,0.50554955
Gaze_Direction_X_Ratio,0.50503576
Gaze_Direction_Y_Ratio,0.5018001
Gaze_Direction_Z_Ratio,0.50026286
Relative_Change_Vergence_Angle,0.49873164
Gaze_Point_Euclidean_Distance,0.49706507
World_Gaze_Direction_L_X,0.4967304
Cosine_Angles,0.49668908
Ratio_World_Gaze_Direction_Y,0.4944757
Ratio_World_Gaze_Direction_X,0.4933195
Gaze_Direction_Angle,0.49298602
Ratio_World_Gaze_Direction_Z,0.49217486
World_Gaze_Direction_L_Z,0.48305553
Gaze_Point_Depth_Difference,0.48237512
World_Gaze_Direction_L_Y,0.4817518
Gaze_Vector_Angle,0.48067233
World_Gaze_Direction_R_Z,0.47823435
World_Gaze_Direction_R_X,0.47543758
Directional_Magnitude_L,0.47422218
Delta_Gaze_Z,0.47388983
Angular_Difference_Gaze_Directions,0.4711325
Angular_Difference_X,0.4625144
Directional_Magnitude_Ratio,0.46039668
Ratio_Delta_Gaze_XY,0.45348567
