feature,attribution
Directional_Magnitude_L,0.071292914
Velocity_Gaze_Direction_R_X,0.06368903
Delta_Gaze_Z,0.060110547
Ratio_World_Gaze_Direction_Z,0.059117336
Ratio_Delta_Gaze_XY,0.055646088
Acceleration_Gaze_Direction_R_X,0.05128124
Directional_Magnitude_R,0.050967224
Gaze_Point_Distance,0.050652534
World_Gaze_Direction_L_X,0.049337916
World_Gaze_Direction_L_Z,0.048449326
Cosine_Angles,0.0480089
Delta_Gaze_X,0.044880442
Angular_Difference_Gaze_Directions,0.04241557
Gaze_Direction_X_Ratio,0.04014196
World_Gaze_Direction_R_Y,0.03995356
Gaze_Direction_Z_Ratio,0.03989643
Ratio_World_Gaze_Direction_X,0.037860725
World_Gaze_Direction_R_X,0.036963213
Vergence_Depth,0.036752187
Directional_Magnitude_Ratio,0.036498882
World_Gaze_Direction_R_Z,0.03608766
Ratio_Directional_Magnitude,0.03519594
Ratio_World_Gaze_Direction_Y,0.034247473
Gaze_Direction_Y_Ratio,0.03250704
Vergence_Angle,0.031084146
Gaze_Point_Depth_Difference,0.030611362
Gaze_Vector_Angle,0.028161624
World_Gaze_Direction_L_Y,0.027351504
Gaze_Direction_Angle,0.026978824
Angular_Difference_X,0.026553571
Delta_Gaze_Y,0.025677942
Gaze_Point_Euclidean_Distance,0.023676978
Relative_Change_Vergence_Angle,0.022626365
Normalized_Vergence_Angle,0.021376526
