feature,attribution
Directional_Magnitude_L,0.0064936266
Velocity_Gaze_Direction_R_X,0.0051741754
Ratio_Delta_Gaze_XY,0.005053655
Ratio_World_Gaze_Direction_Z,0.0047810073
Delta_Gaze_Z,0.0044695013
Gaze_Point_Distance,0.0033981479
World_Gaze_Direction_L_X,0.003041122
Cosine_Angles,0.0028993427
Angular_Difference_Gaze_Directions,0.0028685795
Directional_Magnitude_R,0.002652777
Delta_Gaze_X,0.0026460418
World_Gaze_Direction_L_Z,0.002563058
Gaze_Direction_X_Ratio,0.0023921381
Acceleration_Gaze_Direction_R_X,0.002345307
Vergence_Depth,0.0021169323
World_Gaze_Direction_R_Y,0.0020637517
World_Gaze_Direction_R_Z,0.0018980046
Ratio_World_Gaze_Direction_Y,0.001759674
World_Gaze_Direction_R_X,0.0015967361
Gaze_Direction_Z_Ratio,0.0015940573
Directional_Magnitude_Ratio,0.0015540736
Ratio_World_Gaze_Direction_X,0.0015270073
Ratio_Directional_Magnitude,0.0013739973
Vergence_Angle,0.0013615319
Angular_Difference_X,0.0013229734
Gaze_Direction_Y_Ratio,0.0012686513
Gaze_Point_Depth_Difference,0.0012349755
Gaze_Vector_Angle,0.0011501947
World_Gaze_Direction_L_Y,0.000898151
Gaze_Direction_Angle,0.0008329233
Gaze_Point_Euclidean_Distance,0.0008035624
Delta_Gaze_Y,0.0007707759
Relative_Change_Vergence_Angle,0.00064570643
Normalized_Vergence_Angle,0.00047840524
