feature,attribution
Directional_Magnitude_L,0.7301227
Velocity_Gaze_Direction_R_X,0.60483354
Delta_Gaze_Z,0.5794712
Ratio_World_Gaze_Direction_Z,0.5414877
Ratio_Delta_Gaze_XY,0.4833269
Acceleration_Gaze_Direction_R_X,0.46937346
Directional_Magnitude_R,0.4647391
Cosine_Angles,0.45547587
World_Gaze_Direction_L_X,0.45227748
World_Gaze_Direction_L_Z,0.4370402
Gaze_Point_Distance,0.43465942
Delta_Gaze_X,0.3792945
Gaze_Direction_Z_Ratio,0.33444446
Angular_Difference_Gaze_Directions,0.3251922
World_Gaze_Direction_R_Y,0.3139291
Gaze_Direction_X_Ratio,0.3107136
Ratio_World_Gaze_Direction_X,0.30734825
World_Gaze_Direction_R_X,0.29982978
Directional_Magnitude_Ratio,0.28583336
Ratio_Directional_Magnitude,0.2802466
Vergence_Depth,0.25792307
World_Gaze_Direction_R_Z,0.25377524
Gaze_Direction_Y_Ratio,0.25076175
Ratio_World_Gaze_Direction_Y,0.24733688
Gaze_Point_Depth_Difference,0.18684018
Vergence_Angle,0.18621314
Gaze_Vector_Angle,0.16141132
World_Gaze_Direction_L_Y,0.15946373
Delta_Gaze_Y,0.15930557
Gaze_Direction_Angle,0.15275791
Angular_Difference_X,0.13507244
Gaze_Point_Euclidean_Distance,0.10538498
Relative_Change_Vergence_Angle,0.10152114
Normalized_Vergence_Angle,0.089398324
