feature,attribution
Acceleration_Gaze_Direction_R_X,0.5827458
Directional_Magnitude_R,0.5472057
Delta_Gaze_X,0.5161339
Vergence_Angle,0.5145537
Gaze_Point_Distance,0.51299757
Normalized_Vergence_Angle,0.5113303
Velocity_Gaze_Direction_R_X,0.50905454
Ratio_Directional_Magnitude,0.50568676
Vergence_Depth,0.5036458
Gaze_Direction_Z_Ratio,0.49799293
World_Gaze_Direction_R_Y,0.4969892
World_Gaze_Direction_L_X,0.49564302
Delta_Gaze_Y,0.49518096
Gaze_Direction_X_Ratio,0.4948548
Gaze_Direction_Y_Ratio,0.49360037
Relative_Change_Vergence_Angle,0.49306506
Gaze_Point_Euclidean_Distance,0.48997492
Ratio_World_Gaze_Direction_Y,0.4896648
Ratio_World_Gaze_Direction_X,0.48624104
Ratio_World_Gaze_Direction_Z,0.4856628
Cosine_Angles,0.48549762
World_Gaze_Direction_L_Y,0.48353022
Gaze_Direction_Angle,0.48322788
World_Gaze_Direction_R_Z,0.47371256
World_Gaze_Direction_L_Z,0.47181112
Directional_Magnitude_L,0.46974325
Gaze_Point_Depth_Difference,0.46909678
World_Gaze_Direction_R_X,0.4663462
Gaze_Vector_Angle,0.46376532
Delta_Gaze_Z,0.46346447
Directional_Magnitude_Ratio,0.45848092
Angular_Difference_Gaze_Directions,0.4565723
Angular_Difference_X,0.44751793
Ratio_Delta_Gaze_XY,0.4440464
