feature,attribution
Directional_Magnitude_L,0.07035774
Velocity_Gaze_Direction_R_X,0.06287847
Delta_Gaze_Z,0.05928206
Ratio_World_Gaze_Direction_Z,0.05772724
Ratio_Delta_Gaze_XY,0.05433598
Directional_Magnitude_R,0.05081697
Acceleration_Gaze_Direction_R_X,0.05040196
Gaze_Point_Distance,0.048741426
World_Gaze_Direction_L_X,0.048648305
World_Gaze_Direction_L_Z,0.04741875
Cosine_Angles,0.047290795
Delta_Gaze_X,0.043519124
Angular_Difference_Gaze_Directions,0.041399345
Gaze_Direction_Z_Ratio,0.039304208
Gaze_Direction_X_Ratio,0.03926513
World_Gaze_Direction_R_Y,0.03906739
Ratio_World_Gaze_Direction_X,0.037958883
World_Gaze_Direction_R_X,0.036385894
Vergence_Depth,0.036211576
World_Gaze_Direction_R_Z,0.036005035
Directional_Magnitude_Ratio,0.035823934
Ratio_Directional_Magnitude,0.034254767
Ratio_World_Gaze_Direction_Y,0.033012353
Gaze_Direction_Y_Ratio,0.03254189
Vergence_Angle,0.030151589
Gaze_Point_Depth_Difference,0.029792503
World_Gaze_Direction_L_Y,0.027255125
Gaze_Vector_Angle,0.0264932
Gaze_Direction_Angle,0.026083611
Angular_Difference_X,0.026041115
Delta_Gaze_Y,0.025850195
Gaze_Point_Euclidean_Distance,0.023156272
Relative_Change_Vergence_Angle,0.022270316
Normalized_Vergence_Angle,0.021290768
