feature,attribution
Directional_Magnitude_L,0.006534902
Velocity_Gaze_Direction_R_X,0.005906109
Ratio_World_Gaze_Direction_Z,0.005363969
Ratio_Delta_Gaze_XY,0.00517378
Delta_Gaze_Z,0.0045325444
Gaze_Point_Distance,0.0034709142
World_Gaze_Direction_L_X,0.0031044548
World_Gaze_Direction_L_Z,0.0029073004
Angular_Difference_Gaze_Directions,0.0028617552
Directional_Magnitude_R,0.0027233476
Delta_Gaze_X,0.0026577818
Cosine_Angles,0.0026515159
Acceleration_Gaze_Direction_R_X,0.0025946503
Gaze_Direction_X_Ratio,0.002592734
World_Gaze_Direction_R_Y,0.0023562454
Vergence_Depth,0.0022039935
World_Gaze_Direction_R_Z,0.0022002165
Gaze_Direction_Z_Ratio,0.001812703
World_Gaze_Direction_R_X,0.0017751487
Directional_Magnitude_Ratio,0.0017467748
Ratio_World_Gaze_Direction_X,0.0016941952
Ratio_World_Gaze_Direction_Y,0.001516906
Ratio_Directional_Magnitude,0.001512046
Vergence_Angle,0.001335065
Gaze_Direction_Y_Ratio,0.0012810632
Angular_Difference_X,0.0012681205
Gaze_Point_Depth_Difference,0.0011728533
Gaze_Vector_Angle,0.0010946512
World_Gaze_Direction_L_Y,0.0009804451
Gaze_Direction_Angle,0.00090267096
Gaze_Point_Euclidean_Distance,0.00090119254
Delta_Gaze_Y,0.00076876767
Relative_Change_Vergence_Angle,0.0007100716
Normalized_Vergence_Angle,0.00053069205
