feature,attribution
Directional_Magnitude_L,0.71721673
Velocity_Gaze_Direction_R_X,0.6275348
Delta_Gaze_Z,0.57859516
Ratio_World_Gaze_Direction_Z,0.5428769
Acceleration_Gaze_Direction_R_X,0.4810141
Ratio_Delta_Gaze_XY,0.47187513
Cosine_Angles,0.46032566
Directional_Magnitude_R,0.45800588
World_Gaze_Direction_L_X,0.4463429
World_Gaze_Direction_L_Z,0.43138787
Gaze_Point_Distance,0.43075186
Delta_Gaze_X,0.3648673
Gaze_Direction_Z_Ratio,0.3344386
World_Gaze_Direction_R_Y,0.32694155
Angular_Difference_Gaze_Directions,0.31859678
Ratio_World_Gaze_Direction_X,0.30661353
Gaze_Direction_X_Ratio,0.30583757
World_Gaze_Direction_R_X,0.29789028
Directional_Magnitude_Ratio,0.2872649
Ratio_Directional_Magnitude,0.28221348
Gaze_Direction_Y_Ratio,0.26967546
World_Gaze_Direction_R_Z,0.26727498
Vergence_Depth,0.2474377
Ratio_World_Gaze_Direction_Y,0.24709204
Gaze_Point_Depth_Difference,0.1867308
Vergence_Angle,0.18388173
World_Gaze_Direction_L_Y,0.16485882
Delta_Gaze_Y,0.1646744
Gaze_Vector_Angle,0.16465716
Gaze_Direction_Angle,0.14947443
Angular_Difference_X,0.14047764
Gaze_Point_Euclidean_Distance,0.1065478
Relative_Change_Vergence_Angle,0.10282715
Normalized_Vergence_Angle,0.088904485
