feature,attribution
Acceleration_Gaze_Direction_R_X,0.6669638
Directional_Magnitude_R,0.61600494
Gaze_Point_Distance,0.60179585
Cosine_Angles,0.56497085
Delta_Gaze_Z,0.563616
Vergence_Angle,0.56121445
World_Gaze_Direction_L_X,0.5602207
Directional_Magnitude_L,0.55662197
Ratio_World_Gaze_Direction_Y,0.53537744
Gaze_Direction_Z_Ratio,0.53536975
World_Gaze_Direction_L_Z,0.5280609
Delta_Gaze_X,0.52601194
Ratio_Directional_Magnitude,0.51617336
Gaze_Direction_Y_Ratio,0.51373696
Vergence_Depth,0.5062126
Gaze_Direction_Angle,0.5052216
Relative_Change_Vergence_Angle,0.5030095
Normalized_Vergence_Angle,0.49670285
Velocity_Gaze_Direction_R_X,0.495019
Gaze_Direction_X_Ratio,0.49441445
Delta_Gaze_Y,0.4937085
Gaze_Point_Euclidean_Distance,0.48697692
World_Gaze_Direction_R_Y,0.48295766
World_Gaze_Direction_R_Z,0.48048925
Ratio_Delta_Gaze_XY,0.4749505
World_Gaze_Direction_L_Y,0.47179046
Gaze_Point_Depth_Difference,0.4704112
Angular_Difference_Gaze_Directions,0.46939442
Angular_Difference_X,0.4673728
Ratio_World_Gaze_Direction_Z,0.46726683
Gaze_Vector_Angle,0.46336505
World_Gaze_Direction_R_X,0.46073487
Ratio_World_Gaze_Direction_X,0.45869726
Directional_Magnitude_Ratio,0.44672114
