feature,attribution
Acceleration_Gaze_Direction_R_X,0.010240276
Velocity_Gaze_Direction_R_X,0.010240276
Ratio_Delta_Gaze_XY,0.010240276
Ratio_Directional_Magnitude,0.010240276
Ratio_World_Gaze_Direction_X,0.010240276
Ratio_World_Gaze_Direction_Y,0.010240276
Ratio_World_Gaze_Direction_Z,0.010240276
Relative_Change_Vergence_Angle,0.010240276
Vergence_Angle,0.010240276
Angular_Difference_Gaze_Directions,0.010240276
Vergence_Depth,0.010240276
World_Gaze_Direction_L_X,0.010240276
World_Gaze_Direction_L_Y,0.010240276
World_Gaze_Direction_L_Z,0.010240276
World_Gaze_Direction_R_X,0.010240276
World_Gaze_Direction_R_Y,0.010240276
Normalized_Vergence_Angle,0.010240276
Gaze_Vector_Angle,0.010240276
Gaze_Point_Euclidean_Distance,0.010240276
Gaze_Point_Distance,0.010240276
Gaze_Point_Depth_Difference,0.010240276
Gaze_Direction_Z_Ratio,0.010240276
Gaze_Direction_Y_Ratio,0.010240276
Gaze_Direction_X_Ratio,0.010240276
Gaze_Direction_Angle,0.010240276
Directional_Magnitude_Ratio,0.010240276
Directional_Magnitude_R,0.010240276
Directional_Magnitude_L,0.010240276
Delta_Gaze_Z,0.010240276
Delta_Gaze_Y,0.010240276
Delta_Gaze_X,0.010240276
Cosine_Angles,0.010240276
Angular_Difference_X,0.010240276
World_Gaze_Direction_R_Z,0.010240276
