feature,attribution
Vergence_Angle,0.5735017
Normalized_Vergence_Angle,0.55385226
Angular_Difference_Gaze_Directions,0.52847964
World_Gaze_Direction_R_X,0.5283469
World_Gaze_Direction_L_X,0.5248859
Gaze_Direction_Z_Ratio,0.523887
Gaze_Direction_X_Ratio,0.516544
Gaze_Point_Euclidean_Distance,0.5155991
World_Gaze_Direction_L_Y,0.51241755
Velocity_Gaze_Direction_R_X,0.5111261
World_Gaze_Direction_R_Z,0.5087457
Ratio_Delta_Gaze_XY,0.5075156
Ratio_World_Gaze_Direction_Y,0.5054055
Vergence_Depth,0.5046282
Ratio_World_Gaze_Direction_X,0.5045012
World_Gaze_Direction_L_Z,0.5043403
Ratio_Directional_Magnitude,0.5026969
Angular_Difference_X,0.500569
Gaze_Vector_Angle,0.50040907
Directional_Magnitude_R,0.5002322
Delta_Gaze_X,0.4992833
Gaze_Point_Distance,0.4983135
Gaze_Direction_Angle,0.4978401
Directional_Magnitude_Ratio,0.49658644
Delta_Gaze_Y,0.4958715
Acceleration_Gaze_Direction_R_X,0.49497926
Gaze_Point_Depth_Difference,0.49449375
Relative_Change_Vergence_Angle,0.48914
Directional_Magnitude_L,0.48886395
Ratio_World_Gaze_Direction_Z,0.48812675
Gaze_Direction_Y_Ratio,0.48418713
Cosine_Angles,0.48406374
World_Gaze_Direction_R_Y,0.48081017
Delta_Gaze_Z,0.46822476
