feature,attribution
World_Gaze_Direction_L_Y,0.0017203181
World_Gaze_Direction_L_X,0.0016298721
Gaze_Direction_Z_Ratio,0.0016138379
Ratio_Delta_Gaze_XY,0.0014680829
Gaze_Point_Depth_Difference,0.0012169362
World_Gaze_Direction_R_Z,0.0012168387
Ratio_World_Gaze_Direction_Y,0.0011930095
Gaze_Point_Euclidean_Distance,0.0011808444
World_Gaze_Direction_L_Z,0.0011650614
Normalized_Vergence_Angle,0.0011529607
World_Gaze_Direction_R_X,0.0011303335
Delta_Gaze_Y,0.0011180837
Delta_Gaze_Z,0.0011033083
Gaze_Direction_X_Ratio,0.0010958568
Ratio_World_Gaze_Direction_Z,0.0010922577
Ratio_World_Gaze_Direction_X,0.0010244545
Relative_Change_Vergence_Angle,0.0010197333
Vergence_Angle,0.001005444
Gaze_Point_Distance,0.00092593266
Angular_Difference_Gaze_Directions,0.00090520276
Vergence_Depth,0.00089673605
Cosine_Angles,0.0008832392
Angular_Difference_X,0.0008607602
Directional_Magnitude_L,0.00083526457
Gaze_Direction_Y_Ratio,0.0008257591
Velocity_Gaze_Direction_R_X,0.0008257549
World_Gaze_Direction_R_Y,0.00077082415
Delta_Gaze_X,0.0007210251
Acceleration_Gaze_Direction_R_X,0.0006918321
Gaze_Direction_Angle,0.0005831858
Gaze_Vector_Angle,0.0005499536
Ratio_Directional_Magnitude,0.00051731867
Directional_Magnitude_Ratio,0.00032797165
Directional_Magnitude_R,0.00011203359
