feature,attribution
World_Gaze_Direction_L_Y,2.2858455e-06
Gaze_Direction_Z_Ratio,2.1007927e-06
World_Gaze_Direction_L_X,2.0441096e-06
Ratio_Delta_Gaze_XY,1.6436645e-06
World_Gaze_Direction_R_Z,1.4741005e-06
Delta_Gaze_Y,1.4173163e-06
Gaze_Point_Distance,1.3645745e-06
Gaze_Point_Euclidean_Distance,1.2703906e-06
Normalized_Vergence_Angle,1.2159524e-06
Gaze_Point_Depth_Difference,1.2075833e-06
World_Gaze_Direction_L_Z,1.1890911e-06
Delta_Gaze_Z,1.1138487e-06
Ratio_World_Gaze_Direction_Y,1.0778131e-06
Relative_Change_Vergence_Angle,1.0216563e-06
Ratio_World_Gaze_Direction_Z,9.839098e-07
Gaze_Direction_X_Ratio,9.273238e-07
Angular_Difference_Gaze_Directions,9.179838e-07
World_Gaze_Direction_R_X,8.9115554e-07
Ratio_World_Gaze_Direction_X,8.5899933e-07
Vergence_Angle,7.673142e-07
Directional_Magnitude_L,7.668696e-07
Cosine_Angles,7.635117e-07
Vergence_Depth,6.840257e-07
Ratio_Directional_Magnitude,6.7390624e-07
World_Gaze_Direction_R_Y,5.831926e-07
Angular_Difference_X,5.7924376e-07
Gaze_Direction_Y_Ratio,5.721876e-07
Velocity_Gaze_Direction_R_X,5.4002265e-07
Delta_Gaze_X,3.9595034e-07
Gaze_Vector_Angle,3.8969566e-07
Acceleration_Gaze_Direction_R_X,3.807436e-07
Gaze_Direction_Angle,3.5330365e-07
Directional_Magnitude_Ratio,3.0891067e-07
Directional_Magnitude_R,7.60537e-08
