feature,attribution
World_Gaze_Direction_L_Y,0.01702382
Gaze_Direction_Z_Ratio,0.015382324
World_Gaze_Direction_L_X,0.01499769
Ratio_Delta_Gaze_XY,0.01230476
World_Gaze_Direction_R_Z,0.010767647
Delta_Gaze_Y,0.01028785
Gaze_Point_Distance,0.009329224
Gaze_Point_Euclidean_Distance,0.009192927
Gaze_Point_Depth_Difference,0.009067178
Normalized_Vergence_Angle,0.008882017
World_Gaze_Direction_L_Z,0.008773143
Delta_Gaze_Z,0.008341926
Ratio_World_Gaze_Direction_Y,0.008097479
Relative_Change_Vergence_Angle,0.007686329
Ratio_World_Gaze_Direction_Z,0.0073830094
Gaze_Direction_X_Ratio,0.007141061
Angular_Difference_Gaze_Directions,0.006778873
World_Gaze_Direction_R_X,0.006777902
Ratio_World_Gaze_Direction_X,0.0065194415
Directional_Magnitude_L,0.005808757
Vergence_Angle,0.0057613216
Cosine_Angles,0.005730238
Ratio_Directional_Magnitude,0.0051334705
Vergence_Depth,0.005085553
World_Gaze_Direction_R_Y,0.004395332
Angular_Difference_X,0.004378884
Gaze_Direction_Y_Ratio,0.0043445714
Velocity_Gaze_Direction_R_X,0.0041258377
Delta_Gaze_X,0.0030358285
Gaze_Vector_Angle,0.0029797705
Acceleration_Gaze_Direction_R_X,0.002908681
Gaze_Direction_Angle,0.0026735307
Directional_Magnitude_Ratio,0.0023952895
Directional_Magnitude_R,0.0004975253
