feature,attribution
Ratio_Directional_Magnitude,0.6334072
Normalized_Vergence_Angle,0.5626283
Angular_Difference_Gaze_Directions,0.5437699
World_Gaze_Direction_L_Y,0.5394976
Vergence_Angle,0.5229097
Ratio_Delta_Gaze_XY,0.5227373
Directional_Magnitude_R,0.51612806
World_Gaze_Direction_R_Z,0.50111777
Gaze_Point_Distance,0.4929742
World_Gaze_Direction_R_X,0.4922824
Gaze_Point_Depth_Difference,0.48976624
Ratio_World_Gaze_Direction_Z,0.48748338
Delta_Gaze_Y,0.48649442
World_Gaze_Direction_L_Z,0.48210752
Gaze_Direction_Angle,0.47915912
Gaze_Vector_Angle,0.47709614
Velocity_Gaze_Direction_R_X,0.47248533
Directional_Magnitude_Ratio,0.47214445
Angular_Difference_X,0.47166586
Acceleration_Gaze_Direction_R_X,0.47122353
Ratio_World_Gaze_Direction_X,0.47051942
Relative_Change_Vergence_Angle,0.47049123
Cosine_Angles,0.47015864
Vergence_Depth,0.46974435
Gaze_Point_Euclidean_Distance,0.46927696
Delta_Gaze_X,0.46634504
Ratio_World_Gaze_Direction_Y,0.46486115
World_Gaze_Direction_R_Y,0.46186402
Gaze_Direction_Y_Ratio,0.46029967
Directional_Magnitude_L,0.4495952
Gaze_Direction_X_Ratio,0.44891298
World_Gaze_Direction_L_X,0.4452678
Gaze_Direction_Z_Ratio,0.44162363
Delta_Gaze_Z,0.43369406
