feature,attribution
World_Gaze_Direction_L_Y,0.0036771144
Ratio_Directional_Magnitude,0.003028696
Ratio_Delta_Gaze_XY,0.0024932956
World_Gaze_Direction_R_Z,0.0024429997
Gaze_Direction_Z_Ratio,0.0022850425
Normalized_Vergence_Angle,0.002227067
Gaze_Point_Depth_Difference,0.002166156
Ratio_World_Gaze_Direction_Z,0.0021392247
Delta_Gaze_Y,0.0021295624
World_Gaze_Direction_L_Z,0.0021048682
Ratio_World_Gaze_Direction_Y,0.0018347598
Angular_Difference_Gaze_Directions,0.0017811819
World_Gaze_Direction_L_X,0.0016692464
Cosine_Angles,0.0015533869
Ratio_World_Gaze_Direction_X,0.0014253464
Gaze_Point_Distance,0.0013845343
Gaze_Point_Euclidean_Distance,0.0013667975
Vergence_Angle,0.0013199736
World_Gaze_Direction_R_X,0.0012951416
Relative_Change_Vergence_Angle,0.0012762324
Delta_Gaze_Z,0.0011989169
Vergence_Depth,0.0011241253
Gaze_Direction_X_Ratio,0.0010514251
Directional_Magnitude_L,0.0009883223
World_Gaze_Direction_R_Y,0.0009652711
Acceleration_Gaze_Direction_R_X,0.00095338165
Gaze_Direction_Y_Ratio,0.0008956185
Angular_Difference_X,0.0008718878
Gaze_Direction_Angle,0.00085466704
Velocity_Gaze_Direction_R_X,0.0007980507
Directional_Magnitude_R,0.00078696903
Delta_Gaze_X,0.00077787484
Gaze_Vector_Angle,0.0007343184
Directional_Magnitude_Ratio,0.0005477039
