feature,attribution
World_Gaze_Direction_L_Y,6.8324553e-06
World_Gaze_Direction_R_Z,3.802783e-06
Gaze_Direction_Z_Ratio,3.6255972e-06
Ratio_Delta_Gaze_XY,3.5944852e-06
Ratio_Directional_Magnitude,3.4942957e-06
Delta_Gaze_Y,3.0124527e-06
Normalized_Vergence_Angle,2.9502464e-06
Gaze_Point_Depth_Difference,2.788991e-06
Ratio_World_Gaze_Direction_Z,2.6626217e-06
Gaze_Point_Distance,2.5850975e-06
World_Gaze_Direction_L_Z,2.4049823e-06
Angular_Difference_Gaze_Directions,2.3531645e-06
Ratio_World_Gaze_Direction_Y,2.2741503e-06
World_Gaze_Direction_L_X,1.9748782e-06
Gaze_Point_Euclidean_Distance,1.878161e-06
Cosine_Angles,1.655213e-06
Ratio_World_Gaze_Direction_X,1.4095366e-06
Delta_Gaze_Z,1.2844014e-06
Vergence_Angle,1.2632281e-06
World_Gaze_Direction_R_X,1.2257502e-06
Relative_Change_Vergence_Angle,1.1240359e-06
Vergence_Depth,1.016477e-06
Gaze_Direction_X_Ratio,9.4922996e-07
Directional_Magnitude_L,8.893426e-07
World_Gaze_Direction_R_Y,8.362811e-07
Gaze_Direction_Angle,7.955166e-07
Acceleration_Gaze_Direction_R_X,6.684758e-07
Gaze_Direction_Y_Ratio,6.289329e-07
Gaze_Vector_Angle,6.1122756e-07
Angular_Difference_X,6.0417455e-07
Delta_Gaze_X,4.841616e-07
Velocity_Gaze_Direction_R_X,4.8375125e-07
Directional_Magnitude_Ratio,3.7598338e-07
Directional_Magnitude_R,3.5795074e-07
