feature,attribution
World_Gaze_Direction_L_Y,0.038523544
World_Gaze_Direction_R_Z,0.021534234
Ratio_Delta_Gaze_XY,0.021437192
Gaze_Direction_Z_Ratio,0.021176247
Ratio_Directional_Magnitude,0.020590592
Delta_Gaze_Y,0.017745947
Normalized_Vergence_Angle,0.017553603
Gaze_Point_Depth_Difference,0.01635828
Ratio_World_Gaze_Direction_Z,0.015384609
Gaze_Point_Distance,0.014170427
Angular_Difference_Gaze_Directions,0.013610149
World_Gaze_Direction_L_Z,0.013541938
Ratio_World_Gaze_Direction_Y,0.012628027
World_Gaze_Direction_L_X,0.010938938
Gaze_Point_Euclidean_Distance,0.010265371
Cosine_Angles,0.008917729
Ratio_World_Gaze_Direction_X,0.0076637105
Vergence_Angle,0.006989759
Delta_Gaze_Z,0.0066305706
World_Gaze_Direction_R_X,0.0064628706
Relative_Change_Vergence_Angle,0.005832329
Vergence_Depth,0.0053139813
Gaze_Direction_X_Ratio,0.0048369574
Directional_Magnitude_L,0.0042784205
Gaze_Direction_Angle,0.0041143214
World_Gaze_Direction_R_Y,0.0040643523
Acceleration_Gaze_Direction_R_X,0.0032272509
Gaze_Vector_Angle,0.0030477073
Gaze_Direction_Y_Ratio,0.0029459174
Angular_Difference_X,0.0026094131
Velocity_Gaze_Direction_R_X,0.0021632568
Delta_Gaze_X,0.002026386
Directional_Magnitude_R,0.0015507516
Directional_Magnitude_Ratio,0.0014137716
