feature,attribution
Normalized_Vergence_Angle,0.55620766
Vergence_Angle,0.5432128
Angular_Difference_Gaze_Directions,0.5373901
Ratio_Directional_Magnitude,0.52905226
World_Gaze_Direction_R_X,0.5280135
World_Gaze_Direction_R_Z,0.516371
Delta_Gaze_Y,0.5117957
Directional_Magnitude_R,0.49728173
Gaze_Direction_X_Ratio,0.49252254
Gaze_Point_Euclidean_Distance,0.4914428
Gaze_Direction_Angle,0.49074477
Gaze_Point_Distance,0.48931366
Gaze_Vector_Angle,0.4854347
Ratio_Delta_Gaze_XY,0.48509592
Gaze_Direction_Z_Ratio,0.48155484
World_Gaze_Direction_L_Z,0.48122287
World_Gaze_Direction_L_X,0.47954565
Velocity_Gaze_Direction_R_X,0.4791695
Acceleration_Gaze_Direction_R_X,0.47612327
Directional_Magnitude_Ratio,0.47593084
Angular_Difference_X,0.47503015
Ratio_World_Gaze_Direction_X,0.47380924
Delta_Gaze_X,0.4737246
World_Gaze_Direction_L_Y,0.4713394
Vergence_Depth,0.46790376
Ratio_World_Gaze_Direction_Z,0.4675212
Ratio_World_Gaze_Direction_Y,0.46184838
Gaze_Direction_Y_Ratio,0.46063262
Directional_Magnitude_L,0.45993823
World_Gaze_Direction_R_Y,0.45757267
Cosine_Angles,0.44718355
Gaze_Point_Depth_Difference,0.4465066
Relative_Change_Vergence_Angle,0.44608432
Delta_Gaze_Z,0.44526505
