feature,attribution
World_Gaze_Direction_L_Y,0.0021789
World_Gaze_Direction_R_Z,0.0019486623
World_Gaze_Direction_L_X,0.0017711794
Gaze_Direction_Z_Ratio,0.0016416599
Ratio_Delta_Gaze_XY,0.0016301249
Delta_Gaze_Y,0.0015685004
World_Gaze_Direction_R_X,0.0015542043
Normalized_Vergence_Angle,0.001475379
Gaze_Point_Euclidean_Distance,0.0014050421
World_Gaze_Direction_L_Z,0.0013608424
Angular_Difference_Gaze_Directions,0.0013141104
Gaze_Point_Depth_Difference,0.0012593191
Ratio_World_Gaze_Direction_Y,0.0011820855
Ratio_World_Gaze_Direction_Z,0.0011493386
Gaze_Direction_X_Ratio,0.00114796
Gaze_Point_Distance,0.0011102711
Delta_Gaze_Z,0.0011007388
Ratio_World_Gaze_Direction_X,0.001032995
Vergence_Angle,0.0010218811
Relative_Change_Vergence_Angle,0.001013993
Cosine_Angles,0.0009919096
Vergence_Depth,0.00092452636
Ratio_Directional_Magnitude,0.0008953278
Directional_Magnitude_L,0.0008440987
Gaze_Direction_Y_Ratio,0.0008254201
Velocity_Gaze_Direction_R_X,0.0008250808
Angular_Difference_X,0.00082462677
Gaze_Direction_Angle,0.0008142299
World_Gaze_Direction_R_Y,0.00078468875
Delta_Gaze_X,0.0007322819
Acceleration_Gaze_Direction_R_X,0.00069174345
Gaze_Vector_Angle,0.0006002287
Directional_Magnitude_Ratio,0.00035037368
Directional_Magnitude_R,0.000118325675
