feature,attribution
World_Gaze_Direction_L_Y,3.4388804e-06
World_Gaze_Direction_R_Z,3.1193538e-06
World_Gaze_Direction_L_X,2.4218712e-06
Gaze_Direction_Z_Ratio,2.1056098e-06
Gaze_Point_Distance,2.075741e-06
Ratio_Delta_Gaze_XY,1.936253e-06
Delta_Gaze_Y,1.8061206e-06
Normalized_Vergence_Angle,1.7653404e-06
Gaze_Point_Euclidean_Distance,1.6582798e-06
Angular_Difference_Gaze_Directions,1.5072031e-06
World_Gaze_Direction_R_X,1.4620292e-06
World_Gaze_Direction_L_Z,1.3792807e-06
Gaze_Point_Depth_Difference,1.3754484e-06
Delta_Gaze_Z,1.1037666e-06
Ratio_World_Gaze_Direction_Y,1.0839136e-06
Ratio_World_Gaze_Direction_Z,1.0249134e-06
Relative_Change_Vergence_Angle,1.0068425e-06
Cosine_Angles,9.743529e-07
Gaze_Direction_X_Ratio,9.638126e-07
Ratio_Directional_Magnitude,8.7323474e-07
Vergence_Angle,8.665967e-07
Ratio_World_Gaze_Direction_X,8.5343515e-07
Directional_Magnitude_L,7.7817486e-07
Vergence_Depth,7.513902e-07
World_Gaze_Direction_R_Y,6.0692963e-07
Gaze_Direction_Angle,5.9087915e-07
Gaze_Direction_Y_Ratio,5.7360194e-07
Velocity_Gaze_Direction_R_X,5.38178e-07
Angular_Difference_X,5.3613536e-07
Gaze_Vector_Angle,4.4399175e-07
Delta_Gaze_X,4.1767038e-07
Acceleration_Gaze_Direction_R_X,3.806879e-07
Directional_Magnitude_Ratio,3.1596483e-07
Directional_Magnitude_R,8.4680714e-08
