feature,attribution
World_Gaze_Direction_L_Y,0.02286886
World_Gaze_Direction_R_Z,0.02018504
World_Gaze_Direction_L_X,0.016571937
Gaze_Direction_Z_Ratio,0.014639234
Ratio_Delta_Gaze_XY,0.01344062
Gaze_Point_Distance,0.012711197
Delta_Gaze_Y,0.012335302
Normalized_Vergence_Angle,0.011858737
Gaze_Point_Euclidean_Distance,0.011096892
World_Gaze_Direction_R_X,0.0106022665
Angular_Difference_Gaze_Directions,0.010088392
Gaze_Point_Depth_Difference,0.009674508
World_Gaze_Direction_L_Z,0.009497305
Delta_Gaze_Z,0.007804935
Ratio_World_Gaze_Direction_Y,0.007565719
Ratio_World_Gaze_Direction_Z,0.007159723
Gaze_Direction_X_Ratio,0.0069970107
Cosine_Angles,0.0067373086
Relative_Change_Vergence_Angle,0.006712852
Ratio_Directional_Magnitude,0.006120681
Vergence_Angle,0.006118927
Ratio_World_Gaze_Direction_X,0.0060895574
Directional_Magnitude_L,0.005425931
Vergence_Depth,0.0050028986
World_Gaze_Direction_R_Y,0.004215862
Gaze_Direction_Angle,0.0041343556
Gaze_Direction_Y_Ratio,0.004058025
Angular_Difference_X,0.003745019
Velocity_Gaze_Direction_R_X,0.0036843168
Gaze_Vector_Angle,0.0031593381
Delta_Gaze_X,0.0029443197
Acceleration_Gaze_Direction_R_X,0.0027114204
Directional_Magnitude_Ratio,0.0021421514
Directional_Magnitude_R,0.00047011487
