feature,attribution
World_Gaze_Direction_L_Y,0.00013881551014140672
Gaze_Direction_Z_Ratio,0.0001372937951493297
World_Gaze_Direction_L_X,0.00011573588217276605
Ratio_World_Gaze_Direction_Y,0.0001035100522770979
World_Gaze_Direction_L_Z,0.00010178121095885857
Ratio_World_Gaze_Direction_Z,0.00010171307904907784
Gaze_Point_Depth_Difference,0.00010100646001490432
Delta_Gaze_Y,9.698235321216069e-05
World_Gaze_Direction_R_Z,9.646589452493354e-05
Ratio_Delta_Gaze_XY,9.437801633366859e-05
Gaze_Point_Euclidean_Distance,8.836120009083687e-05
World_Gaze_Direction_R_X,8.0519002301881e-05
Cosine_Angles,7.333870251705311e-05
Delta_Gaze_Z,6.526244458764444e-05
Relative_Change_Vergence_Angle,6.374826537849277e-05
Ratio_World_Gaze_Direction_X,6.273887294371927e-05
Normalized_Vergence_Angle,5.425365820918387e-05
Gaze_Point_Distance,5.394583098066423e-05
Angular_Difference_Gaze_Directions,5.253553929516773e-05
Angular_Difference_X,5.1081259916217815e-05
Gaze_Direction_X_Ratio,5.0668664176265076e-05
Directional_Magnitude_L,4.990732221788689e-05
Gaze_Direction_Y_Ratio,4.76482978589832e-05
World_Gaze_Direction_R_Y,4.736933134284722e-05
Ratio_Directional_Magnitude,4.703250655739414e-05
Vergence_Depth,4.5984587296364256e-05
Delta_Gaze_X,4.346619702396089e-05
Acceleration_Gaze_Direction_R_X,3.995435551079591e-05
Gaze_Direction_Angle,3.959776806321143e-05
Velocity_Gaze_Direction_R_X,3.8763350864565945e-05
Gaze_Vector_Angle,2.9740985646004952e-05
Vergence_Angle,2.6984527706506928e-05
Directional_Magnitude_Ratio,1.6874879780006487e-05
Directional_Magnitude_R,7.104705090253205e-06
