feature,attribution
Gaze_Direction_Z_Ratio,1.744687371285844e-08
World_Gaze_Direction_L_Y,1.7382089785909056e-08
Delta_Gaze_Y,1.251249588054336e-08
World_Gaze_Direction_L_X,1.1683714715039565e-08
World_Gaze_Direction_L_Z,1.047002748528334e-08
World_Gaze_Direction_R_Z,1.0319626498875196e-08
Gaze_Point_Depth_Difference,9.919416652101792e-09
Ratio_World_Gaze_Direction_Z,8.733604156316117e-09
Ratio_World_Gaze_Direction_Y,8.214833810461478e-09
Gaze_Point_Euclidean_Distance,8.159776243182151e-09
Ratio_Delta_Gaze_XY,8.038821727882496e-09
Ratio_Directional_Magnitude,5.9073751862309245e-09
Cosine_Angles,5.2043312270096964e-09
World_Gaze_Direction_R_X,5.052176312111529e-09
Normalized_Vergence_Angle,4.7674592341523715e-09
Gaze_Point_Distance,4.215329963999209e-09
Angular_Difference_Gaze_Directions,4.004485596375587e-09
Delta_Gaze_Z,3.967966681942116e-09
Relative_Change_Vergence_Angle,3.864711426585191e-09
Ratio_World_Gaze_Direction_X,3.622136703894002e-09
Directional_Magnitude_L,3.197678846635659e-09
Gaze_Direction_X_Ratio,2.501952556210716e-09
Vergence_Depth,2.36014836443135e-09
World_Gaze_Direction_R_Y,2.1805873084820487e-09
Gaze_Direction_Y_Ratio,2.144979291720411e-09
Angular_Difference_X,2.1089361677532067e-09
Gaze_Direction_Angle,1.7293953497897115e-09
Delta_Gaze_X,1.7285470131549747e-09
Velocity_Gaze_Direction_R_X,1.464887845726902e-09
Gaze_Vector_Angle,1.286021914161053e-09
Acceleration_Gaze_Direction_R_X,1.2164659126192163e-09
Vergence_Angle,9.500818871662534e-10
Directional_Magnitude_Ratio,7.510491421708733e-10
Directional_Magnitude_R,2.830682940617826e-10
