feature,attribution
Gaze_Direction_Z_Ratio,0.00016306787369804696
World_Gaze_Direction_L_Y,0.00014673911140750402
Delta_Gaze_Y,0.00011583220755958925
World_Gaze_Direction_L_X,0.00010653396947114388
World_Gaze_Direction_R_Z,9.948774020489593e-05
World_Gaze_Direction_L_Z,9.781943164685417e-05
Gaze_Point_Depth_Difference,9.312985420720761e-05
Ratio_World_Gaze_Direction_Y,8.415815805060224e-05
Ratio_World_Gaze_Direction_Z,8.087933690822278e-05
Gaze_Point_Euclidean_Distance,7.81529742521084e-05
Ratio_Delta_Gaze_XY,7.684626975462256e-05
Ratio_Directional_Magnitude,5.718502311215038e-05
Cosine_Angles,5.1910708210504594e-05
World_Gaze_Direction_R_X,4.652174143428092e-05
Normalized_Vergence_Angle,3.8246011158876035e-05
Angular_Difference_Gaze_Directions,3.557314052862729e-05
Gaze_Point_Distance,3.549320595046219e-05
Delta_Gaze_Z,3.469770257306586e-05
Ratio_World_Gaze_Direction_X,3.2523446885192764e-05
Directional_Magnitude_L,3.065866125807062e-05
Relative_Change_Vergence_Angle,3.031101485220391e-05
Gaze_Direction_X_Ratio,2.1766571054670363e-05
Gaze_Direction_Y_Ratio,2.047649043729299e-05
Angular_Difference_X,2.0174767224637856e-05
Vergence_Depth,1.8515411961098242e-05
World_Gaze_Direction_R_Y,1.6638583989533353e-05
Gaze_Direction_Angle,1.5302738824371017e-05
Delta_Gaze_X,1.4269309086763821e-05
Gaze_Vector_Angle,1.2563003193092947e-05
Acceleration_Gaze_Direction_R_X,1.1513471597376537e-05
Velocity_Gaze_Direction_R_X,1.1483881495842303e-05
Vergence_Angle,9.724520030476323e-06
Directional_Magnitude_Ratio,7.283544912152189e-06
Directional_Magnitude_R,2.703508342244274e-06
