feature,attribution
World_Gaze_Direction_L_Y,0.00016818722752508277
World_Gaze_Direction_L_X,0.00013971396511010365
Ratio_Delta_Gaze_XY,0.00012664514924832257
Ratio_World_Gaze_Direction_Z,0.00012008368269426226
Gaze_Point_Depth_Difference,0.00011783754786451167
Gaze_Direction_Z_Ratio,0.00011400442375285052
Gaze_Point_Euclidean_Distance,0.00010532982624839692
World_Gaze_Direction_L_Z,0.00010437541191345337
World_Gaze_Direction_R_X,0.00010098679727918283
Normalized_Vergence_Angle,9.977444239689918e-05
Ratio_World_Gaze_Direction_Y,9.830475191317627e-05
World_Gaze_Direction_R_Z,9.824517669878433e-05
Delta_Gaze_Y,9.507598916973628e-05
Vergence_Angle,9.47026936734557e-05
Angular_Difference_Gaze_Directions,7.802965048818435e-05
Gaze_Direction_X_Ratio,7.641844482216528e-05
Relative_Change_Vergence_Angle,7.32624217469463e-05
Gaze_Point_Distance,7.121797522784289e-05
Cosine_Angles,7.027513813368761e-05
Velocity_Gaze_Direction_R_X,6.616829893112613e-05
Ratio_World_Gaze_Direction_X,6.429463603017553e-05
Delta_Gaze_Z,5.8557688656261873e-05
Vergence_Depth,5.7984159199685646e-05
Ratio_Directional_Magnitude,4.3984365095296664e-05
World_Gaze_Direction_R_Y,4.1337999658045335e-05
Angular_Difference_X,4.0152336923349115e-05
Gaze_Vector_Angle,3.728049957678521e-05
Acceleration_Gaze_Direction_R_X,3.323220229557856e-05
Gaze_Direction_Angle,3.3129472729322986e-05
Gaze_Direction_Y_Ratio,3.309864142875324e-05
Delta_Gaze_X,3.1129556482189023e-05
Directional_Magnitude_L,2.898024127411514e-05
Directional_Magnitude_Ratio,2.4629285779494874e-05
Directional_Magnitude_R,6.7484992223767406e-06
