feature,attribution
World_Gaze_Direction_L_Y,1.9705094493735168e-08
World_Gaze_Direction_L_X,1.7949014999737058e-08
Ratio_World_Gaze_Direction_Z,1.2952224230749714e-08
Delta_Gaze_Y,1.2726926895433103e-08
Ratio_Delta_Gaze_XY,1.1844542733645278e-08
Gaze_Direction_Z_Ratio,1.1501557682519112e-08
Gaze_Point_Depth_Difference,1.143105060292107e-08
Gaze_Point_Euclidean_Distance,1.033500034667326e-08
World_Gaze_Direction_L_Z,1.0332784305096843e-08
Normalized_Vergence_Angle,8.791050042914645e-09
World_Gaze_Direction_R_Z,7.579286032466217e-09
Ratio_World_Gaze_Direction_Y,7.1196538509035855e-09
Angular_Difference_Gaze_Directions,6.8034266967335714e-09
World_Gaze_Direction_R_X,6.743872694186751e-09
Gaze_Point_Distance,5.759120887411759e-09
Ratio_Directional_Magnitude,5.627774131468256e-09
Cosine_Angles,4.651297536433541e-09
Relative_Change_Vergence_Angle,4.397957401533767e-09
Vergence_Angle,2.8294140584820863e-09
Gaze_Direction_X_Ratio,2.4167832881302707e-09
Ratio_World_Gaze_Direction_X,2.2651139830280346e-09
Velocity_Gaze_Direction_R_X,1.9475244794094766e-09
Delta_Gaze_Z,1.8634029484870194e-09
Vergence_Depth,1.8119608458598838e-09
World_Gaze_Direction_R_Y,1.1347376761047632e-09
Gaze_Direction_Angle,1.0055209411127847e-09
Gaze_Vector_Angle,8.503839272047461e-10
Acceleration_Gaze_Direction_R_X,7.942496771911449e-10
Angular_Difference_X,7.328162537023861e-10
Gaze_Direction_Y_Ratio,6.738079248210298e-10
Directional_Magnitude_Ratio,6.45578136639942e-10
Directional_Magnitude_L,5.555619040219907e-10
Delta_Gaze_X,5.181762194811682e-10
Directional_Magnitude_R,3.447451099635506e-10
