feature,attribution
World_Gaze_Direction_L_Y,0.00020807765825871317
World_Gaze_Direction_L_X,0.00016216535174947918
Ratio_World_Gaze_Direction_Z,0.00012650606222654404
Gaze_Point_Depth_Difference,0.0001132207053974393
Gaze_Direction_Z_Ratio,0.00011141267247239341
Ratio_Delta_Gaze_XY,0.0001097042071768652
Delta_Gaze_Y,0.00010310947552041209
World_Gaze_Direction_L_Z,0.00010004367910780411
Normalized_Vergence_Angle,9.645916703548025e-05
Gaze_Point_Euclidean_Distance,9.213880770887585e-05
World_Gaze_Direction_R_Z,7.783684751218511e-05
Gaze_Point_Distance,7.474435829007938e-05
Angular_Difference_Gaze_Directions,7.257466497698388e-05
Ratio_World_Gaze_Direction_Y,7.095764009048968e-05
World_Gaze_Direction_R_X,6.968488557330104e-05
Ratio_Directional_Magnitude,5.5348958417009905e-05
Cosine_Angles,4.742173457215857e-05
Relative_Change_Vergence_Angle,4.395846440307899e-05
Vergence_Angle,2.7030400317824276e-05
Gaze_Direction_X_Ratio,2.5700380867695704e-05
Ratio_World_Gaze_Direction_X,2.4783096480189618e-05
Velocity_Gaze_Direction_R_X,1.9736677703027396e-05
Vergence_Depth,1.9063176210752766e-05
Delta_Gaze_Z,1.3399409939795586e-05
Gaze_Direction_Angle,1.3152412732884925e-05
World_Gaze_Direction_R_Y,1.2377815911480765e-05
Gaze_Vector_Angle,1.1654223180187261e-05
Angular_Difference_X,9.570338670605238e-06
Gaze_Direction_Y_Ratio,8.036412197794881e-06
Directional_Magnitude_L,7.216009668820915e-06
Directional_Magnitude_Ratio,6.614379341180487e-06
Acceleration_Gaze_Direction_R_X,6.031241660553808e-06
Delta_Gaze_X,4.877467530643833e-06
Directional_Magnitude_R,3.424713171578821e-06
