feature,attribution
Gaze_Direction_Z_Ratio,0.00016978516722441377
World_Gaze_Direction_L_Y,0.00014445598073660584
Gaze_Point_Depth_Difference,0.00013939742708177411
World_Gaze_Direction_L_X,0.00013604640396911705
World_Gaze_Direction_L_Z,0.00013337788671498535
Ratio_World_Gaze_Direction_Z,0.00011690241227569401
Ratio_World_Gaze_Direction_Y,0.00010653102553483102
Ratio_Delta_Gaze_XY,0.00010293125597364151
Delta_Gaze_Y,0.00010236361815324048
World_Gaze_Direction_R_Z,9.996412693109978e-05
Gaze_Point_Euclidean_Distance,9.70054810267946e-05
Cosine_Angles,8.542824662021268e-05
World_Gaze_Direction_R_X,8.523859327211617e-05
Delta_Gaze_Z,7.859350068359087e-05
Ratio_World_Gaze_Direction_X,7.402430781242383e-05
Normalized_Vergence_Angle,6.74800632393158e-05
Angular_Difference_Gaze_Directions,6.388004304788216e-05
Relative_Change_Vergence_Angle,6.161519333358498e-05
Angular_Difference_X,6.092982898989383e-05
Directional_Magnitude_L,5.882964039589972e-05
Gaze_Point_Distance,5.6705538988690106e-05
Gaze_Direction_Y_Ratio,5.482618178765671e-05
Gaze_Direction_X_Ratio,5.479434029120866e-05
World_Gaze_Direction_R_Y,5.206609839376776e-05
Vergence_Depth,5.176444460886443e-05
Delta_Gaze_X,5.111642900991878e-05
Ratio_Directional_Magnitude,4.73072026446233e-05
Gaze_Direction_Angle,4.424391676601582e-05
Acceleration_Gaze_Direction_R_X,4.3163167639708776e-05
Velocity_Gaze_Direction_R_X,4.260340490807413e-05
Gaze_Vector_Angle,3.314272167763332e-05
Vergence_Angle,2.977348356944022e-05
Directional_Magnitude_Ratio,1.9460249088519644e-05
Directional_Magnitude_R,7.24491376046475e-06
