feature,attribution
Gaze_Direction_Z_Ratio,1.978165737622798e-08
World_Gaze_Direction_L_Y,1.6812784229616567e-08
World_Gaze_Direction_R_Z,1.3410522275583671e-08
Delta_Gaze_Y,1.3353526733418131e-08
World_Gaze_Direction_L_X,1.210641602834193e-08
World_Gaze_Direction_L_Z,1.1697676618847449e-08
Gaze_Point_Euclidean_Distance,1.1284589835318379e-08
Gaze_Point_Depth_Difference,1.0055300102604373e-08
Ratio_World_Gaze_Direction_Z,9.493201523159882e-09
Ratio_World_Gaze_Direction_Y,9.294041618840129e-09
Ratio_Delta_Gaze_XY,8.850515996869622e-09
Ratio_Directional_Magnitude,7.795807994759127e-09
World_Gaze_Direction_R_X,6.836189745730317e-09
Cosine_Angles,6.590105366862141e-09
Normalized_Vergence_Angle,4.756687541893322e-09
Angular_Difference_Gaze_Directions,4.64678896269785e-09
Relative_Change_Vergence_Angle,4.317098150101029e-09
Delta_Gaze_Z,4.131844599416335e-09
Directional_Magnitude_L,4.055598300548818e-09
Ratio_World_Gaze_Direction_X,3.913280051407038e-09
Gaze_Point_Distance,3.366410721708706e-09
Gaze_Direction_X_Ratio,3.1806750775197873e-09
Angular_Difference_X,2.9229670943147254e-09
Vergence_Depth,2.600027053360099e-09
Gaze_Direction_Y_Ratio,2.5643374622559553e-09
World_Gaze_Direction_R_Y,2.2457072224808777e-09
Gaze_Direction_Angle,1.9249805140592016e-09
Delta_Gaze_X,1.8342562304344342e-09
Velocity_Gaze_Direction_R_X,1.7701312048862838e-09
Gaze_Vector_Angle,1.5954126667546736e-09
Acceleration_Gaze_Direction_R_X,1.3107531632486467e-09
Vergence_Angle,1.22419000263685e-09
Directional_Magnitude_Ratio,8.160122989660633e-10
Directional_Magnitude_R,4.0372507806642325e-10
