feature,attribution
Gaze_Direction_Z_Ratio,0.00017748190324990229
World_Gaze_Direction_L_Y,0.00016524569652424102
Delta_Gaze_Y,0.00012090785447174024
World_Gaze_Direction_R_Z,0.00010854746837082153
World_Gaze_Direction_L_X,0.00010696833680406582
Gaze_Point_Euclidean_Distance,0.00010126742459636527
World_Gaze_Direction_L_Z,0.00010000593246418551
Gaze_Point_Depth_Difference,9.967388912311567e-05
Ratio_World_Gaze_Direction_Z,9.715907740310073e-05
Ratio_Delta_Gaze_XY,8.803834908617762e-05
Ratio_World_Gaze_Direction_Y,8.402849226093933e-05
World_Gaze_Direction_R_X,5.665232548088099e-05
Cosine_Angles,5.619412949586734e-05
Ratio_Directional_Magnitude,5.4927161066975286e-05
Ratio_World_Gaze_Direction_X,4.777448590634587e-05
Delta_Gaze_Z,4.458259908404611e-05
Gaze_Point_Distance,4.436811144496893e-05
Relative_Change_Vergence_Angle,4.4175634134697704e-05
Normalized_Vergence_Angle,4.124183752829518e-05
Angular_Difference_Gaze_Directions,3.8456305509165206e-05
Directional_Magnitude_L,3.273646074521488e-05
Gaze_Direction_X_Ratio,2.6126827096023256e-05
Angular_Difference_X,2.5832363782321726e-05
Vergence_Depth,2.5563715691048396e-05
Gaze_Direction_Y_Ratio,2.4257559184925345e-05
World_Gaze_Direction_R_Y,2.0247992625265554e-05
Gaze_Vector_Angle,1.9417065794477763e-05
Delta_Gaze_X,1.8886461098123637e-05
Gaze_Direction_Angle,1.786424173091737e-05
Velocity_Gaze_Direction_R_X,1.6490632471456934e-05
Acceleration_Gaze_Direction_R_X,1.537134903807665e-05
Vergence_Angle,1.4070913574301073e-05
Directional_Magnitude_Ratio,7.632565269014067e-06
Directional_Magnitude_R,2.7413397055945213e-06
